level_mA,heat_ms,sweep,run_type,cycle,bootstrap,i_mA,cc_pct,dx_um,x_base_um,F_base_mN,dF_mN,clipped,railed,detect_ok,cool_s,i_low_mA,seeded
750,100,sweep_20260731_145838,map,3,0,740.91,98.8,512.74,-4184.55,181.134,16.968,0,0,1,30.0,100,1
750,100,sweep_20260731_145838,map,4,0,741.18,98.8,520.65,-4178.94,181.411,17.798,0,0,1,30.0,100,1
750,100,sweep_20260731_145838,map,5,0,743.21,99.1,538.05,-4071.49,184.78,17.321,0,0,1,30.0,100,1
750,100,sweep_20260731_145838,map,6,0,742.44,99.0,511.72,-4189.4,181.027,16.992,0,0,1,30.0,100,1
850,100,sweep_20260731_145838,map,1,1,841.26,99.0,653.12,-4358.75,175.641,21.39,0,0,1,30.0,100,1
850,100,sweep_20260731_145838,map,2,0,840.81,98.9,705.45,-4154.64,182.034,23.291,0,0,1,30.0,100,1
850,100,sweep_20260731_145838,map,3,0,840.22,98.8,705.65,-4115.83,183.263,22.845,0,0,1,30.0,100,1
850,100,sweep_20260731_145838,map,4,0,1122.16,132.0,1680.68,-4085.47,184.265,55.947,0,0,1,30.0,100,1
850,100,sweep_20260731_145838,map,5,0,840.04,98.8,700.26,-4084.14,184.189,23.108,0,0,1,30.0,100,1
850,100,sweep_20260731_145838,map,6,0,844.87,99.4,669.13,-4105.97,183.166,22.667,0,0,1,30.0,100,1
950,100,sweep_20260731_145838,map,1,1,938.88,98.8,862.33,-4335.44,176.57,28.223,0,0,1,30.0,100,1
950,100,sweep_20260731_145838,map,2,0,941.28,99.1,931.8,-4098.46,183.459,30.947,0,0,1,30.0,100,1
950,100,sweep_20260731_145838,map,3,0,937.36,98.7,911.25,-4155.61,181.783,30.828,0,0,1,30.0,100,1
950,100,sweep_20260731_145838,map,4,0,938.74,98.8,905.34,-4123.31,182.808,30.216,0,0,1,30.0,100,1
950,100,sweep_20260731_145838,map,5,0,935.7,98.5,882.8,-4146.97,182.015,29.113,0,0,1,30.0,100,1
950,100,sweep_20260731_145838,map,6,0,939.78,98.9,878.73,-4193.4,180.646,29.071,0,0,1,30.0,100,1
150,200,sweep_20260731_145838,map,1,1,151.9,101.3,90.03,-4358.27,175.889,3.017,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,2,0,134.41,89.6,127.18,-4226.27,179.721,4.596,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,3,0,130.1,86.7,62.75,-4156.38,182.078,2.338,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,4,0,127.37,84.9,46.65,-4140.29,182.6,1.816,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,5,0,126.97,84.6,44.99,-4138.17,182.655,1.793,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,6,0,151.53,101.0,-40.66,-4145.63,182.235,0.865,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,7,0,133.89,89.3,68.1,-4204.81,180.319,2.915,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,8,0,130.44,87.0,48.75,-4169.14,181.649,2.166,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,9,0,126.33,84.2,38.8,-4156.51,182.042,1.773,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,10,0,124.18,82.8,39.14,-4152.45,182.214,1.602,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,11,0,126.55,84.4,36.95,-4149.01,182.362,1.462,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,12,0,134.32,89.5,37.17,-4148.37,182.378,1.446,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,13,0,151.0,100.7,28.56,-4191.34,180.529,1.882,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,14,0,149.84,99.9,19.74,-4225.58,179.789,1.042,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,15,0,146.16,97.4,83.72,-4263.06,178.283,3.734,0,0,0,30.0,100,1
