wall_us,step,phase,fw_t_us,src,seq,hw_us,raw_code,voltage_V,stage_mm
308773781000,1,static,12764000,2,,,68370,0.04075200,9.999960
308773781000,1,static,12765000,1,,,2129029474,4.95703300,9.999960
308773781000,1,static,12766000,2,,,68370,0.04075200,9.999960
308773781000,1,static,12767000,1,,,2129331921,4.95773700,9.999960
308773781000,1,static,12768000,2,,,67470,0.04021500,9.999960
308773781000,1,static,12769000,1,,,2129243182,4.95753000,9.999960
308773781000,1,static,12770000,2,,,68060,0.04056700,9.999960
308773796000,1,static,12771000,1,,,2129401535,4.95789900,9.999960
308773796000,1,static,12772000,2,,,68950,0.04109700,9.999960
308773796000,1,static,12773000,1,,,2129471618,4.95806300,9.999960
308773796000,1,static,12774000,2,,,69540,0.04144900,9.999960
308773796000,1,static,12775000,1,,,2129037459,4.95705200,9.999960
308773796000,1,static,12776000,2,,,69540,0.04144900,9.999960
308773796000,1,static,12777000,1,,,2129037459,4.95705200,9.999960
308773796000,1,static,12778000,2,,,68440,0.04079300,9.999960
308773796000,1,static,12779000,1,,,2128996437,4.95695600,9.999960
308773796000,1,static,12780000,2,,,68440,0.04079300,9.999960
308773796000,1,static,12781000,1,,,2129397969,4.95789100,9.999960
308773796000,1,static,12782000,2,,,67650,0.04032300,9.999960
308773796000,1,static,12783000,1,,,2129323795,4.95771800,9.999960
308773796000,1,static,12784000,2,,,67400,0.04017400,9.999960
308773796000,1,static,12785000,1,,,2129466207,4.95805000,9.999960
308773796000,1,static,12786000,2,,,68230,0.04066800,9.999960
308773812000,1,static,12787000,1,,,2129466207,4.95805000,9.999960
308773812000,1,static,12788000,2,,,68230,0.04066800,9.999960
308773812000,1,static,12789000,1,,,2129579889,4.95831400,9.999960
308773812000,1,static,12790000,2,,,69620,0.04149700,9.999960
308773812000,1,static,12791000,1,,,2129123632,4.95725200,9.999960
308773812000,1,static,12792000,2,,,69050,0.04115700,9.999960
308773812000,1,static,12793000,1,,,2128954866,4.95686000,9.999960
308773812000,1,static,12794000,2,,,68460,0.04080500,9.999960
308773812000,1,static,12795000,1,,,2129299293,4.95766100,9.999960
308773812000,1,static,12796000,2,,,68140,0.04061500,9.999960
308773812000,1,static,12797000,1,,,2129299293,4.95766100,9.999960
308773812000,1,static,12798000,2,,,68140,0.04061500,9.999960
308773812000,1,static,12799000,1,,,2129241456,4.95752700,9.999960
308773812000,1,static,12800000,2,,,67850,0.04044200,9.999960
308773812000,1,static,12801000,1,,,2129368606,4.95782300,9.999960
308773828000,1,static,12802000,2,,,68000,0.04053100,9.999960
308773828000,1,static,12803000,1,,,2129508242,4.95814800,9.999960
308773828000,1,static,12804000,2,,,69090,0.04118100,9.999960
308773828000,1,static,12805000,1,,,2129119169,4.95724200,9.999960
308773828000,1,static,12806000,2,,,69420,0.04137800,9.999960
308773828000,1,static,12807000,1,,,2129009086,4.95698500,9.999960
308773828000,1,static,12808000,2,,,69420,0.04137800,9.999960
308773828000,1,static,12809000,1,,,2129009086,4.95698500,9.999960
308773828000,1,static,12810000,2,,,69400,0.04136600,9.999960
308773828000,1,static,12811000,1,,,2129352622,4.95778500,9.999960
308773828000,1,static,12812000,2,,,67970,0.04051300,9.999960
308773828000,1,static,12813000,1,,,2129299808,4.95766300,9.999960
308773828000,1,static,12814000,2,,,68590,0.04088300,9.999960
308773828000,1,static,12815000,1,,,2129355564,4.95779200,9.999960
308773828000,1,static,12816000,2,,,68120,0.04060300,9.999960
308773828000,1,static,12817000,1,,,2129523487,4.95818300,9.999960
308773843000,1,static,12818000,2,,,68120,0.04060300,9.999960
308773843000,1,static,12819000,1,,,2129523487,4.95818300,9.999960
308773843000,1,static,12820000,2,,,68360,0.04074600,9.999960
308773843000,1,static,12821000,1,,,2129144112,4.95730000,9.999960
308773843000,1,static,12822000,2,,,69290,0.04130000,9.999960
308773843000,1,static,12823000,1,,,2128934429,4.95681200,9.999960
308773843000,1,static,12824000,2,,,69400,0.04136600,9.999960
308773843000,1,static,12825000,1,,,2129233837,4.95750900,9.999960
308773843000,1,static,12826000,2,,,69210,0.04125200,9.999960
308773843000,1,static,12827000,1,,,2129258920,4.95756700,9.999960
308773843000,1,static,12828000,2,,,68250,0.04068000,9.999960
308773843000,1,static,12829000,1,,,2129258920,4.95756700,9.999960
