wall_us,step,phase,stage_mm,set_vel_mm_s
308900171000,3,pre_hold,9.999960,0.0000
308900203000,3,pre_hold,9.999960,0.0000
308900234000,3,pre_hold,9.999960,0.0000
308900265000,3,pre_hold,9.999960,0.0000
308900296000,3,pre_hold,9.999960,0.0000
308900328000,3,pre_hold,9.999960,0.0000
308900359000,3,pre_hold,9.999960,0.0000
308900390000,3,pre_hold,9.999960,0.0000
308900421000,3,pre_hold,9.999960,0.0000
308900453000,3,pre_hold,9.999960,0.0000
308900484000,3,pre_hold,9.999960,0.0000
308900515000,3,pre_hold,9.999960,0.0000
308900546000,3,pre_hold,9.999960,0.0000
308900578000,3,pre_hold,9.999960,0.0000
308900609000,3,pre_hold,9.999960,0.0000
308900640000,3,pre_hold,9.999960,0.0000
308900671000,3,pre_hold,9.999960,0.0000
308900703000,3,pre_hold,9.999960,0.0000
308900734000,3,pre_hold,9.999960,0.0000
308900765000,3,pre_hold,9.999960,0.0000
308900796000,3,pre_hold,9.999960,0.0000
308900828000,3,pre_hold,9.999960,0.0000
308900859000,3,pre_hold,9.999960,0.0000
308900890000,3,pre_hold,9.999960,0.0000
308900921000,3,pre_hold,9.999960,0.0000
308900953000,3,pre_hold,9.999960,0.0000
308900984000,3,pre_hold,9.999960,0.0000
308901015000,3,pre_hold,9.999960,0.0000
308901046000,3,pre_hold,9.999960,0.0000
308901078000,3,pre_hold,9.999960,0.0000
308901109000,3,pre_hold,9.999960,0.0000
308901140000,3,pre_hold,9.999960,0.0000
308901171000,3,pre_hold,9.999960,0.0000
308901203000,3,pre_hold,9.999960,0.0000
308901234000,3,pre_hold,9.999960,0.0000
308901265000,3,pre_hold,9.999960,0.0000
308901296000,3,pre_hold,9.999960,0.0000
308901328000,3,pre_hold,9.999960,0.0000
308901359000,3,pre_hold,9.999960,0.0000
308901390000,3,pre_hold,9.999960,0.0000
308901421000,3,pre_hold,9.999960,0.0000
308901453000,3,pre_hold,9.999960,0.0000
308901484000,3,pre_hold,9.999960,0.0000
308901515000,3,pre_hold,9.999960,0.0000
308901546000,3,pre_hold,9.999960,0.0000
308901578000,3,pre_hold,9.999960,0.0000
308901609000,3,pre_hold,9.999960,0.0000
308901640000,3,pre_hold,9.999960,0.0000
308901671000,3,pre_hold,9.999960,0.0000
308901703000,3,pre_hold,9.999960,0.0000
