wall_us,step,phase,stage_mm,set_vel_mm_s
308840671000,2,ramp_fwd,10.389592,0.1000
308840703000,2,ramp_fwd,10.392866,0.1000
308840734000,2,ramp_fwd,10.396041,0.1000
308840765000,2,ramp_fwd,10.399216,0.1000
308840796000,2,ramp_fwd,10.402391,0.1000
308840828000,2,ramp_fwd,10.405566,0.1000
308840859000,2,ramp_fwd,10.408741,0.1000
308840890000,2,ramp_fwd,10.412016,0.1000
308840921000,2,ramp_fwd,10.415191,0.1000
308840953000,2,ramp_fwd,10.418366,0.1000
308840984000,2,ramp_fwd,10.421541,0.1000
308841015000,2,ramp_fwd,10.424815,0.1000
308841046000,2,ramp_fwd,10.427990,0.1000
308841078000,2,ramp_fwd,10.431165,0.1000
308841109000,2,ramp_fwd,10.434340,0.1000
308841140000,2,ramp_fwd,10.437515,0.1000
308841171000,2,ramp_fwd,10.440789,0.1000
308841203000,2,ramp_fwd,10.443964,0.1000
308841234000,2,ramp_fwd,10.447139,0.1000
308841265000,2,ramp_fwd,10.450314,0.1000
308841296000,2,ramp_fwd,10.453588,0.1000
308841328000,2,ramp_fwd,10.456763,0.1000
308841359000,2,ramp_fwd,10.459938,0.1000
308841390000,2,ramp_fwd,10.463113,0.1000
308841421000,2,ramp_fwd,10.466288,0.1000
308841453000,2,ramp_fwd,10.469463,0.1000
308841484000,2,ramp_fwd,10.472737,0.1000
308841515000,2,ramp_fwd,10.475912,0.1000
308841546000,2,ramp_fwd,10.479087,0.1000
308841578000,2,ramp_fwd,10.482262,0.1000
308841609000,2,ramp_fwd,10.485437,0.1000
308841640000,2,ramp_fwd,10.488712,0.1000
308841671000,2,ramp_fwd,10.491887,0.1000
308841703000,2,ramp_fwd,10.495062,0.1000
308841734000,2,ramp_fwd,10.498237,0.1000
308841765000,2,ramp_fwd,10.501511,0.1000
308841796000,2,ramp_fwd,10.504686,0.1000
308841828000,2,ramp_fwd,10.507861,0.1000
308841859000,2,ramp_fwd,10.511036,0.1000
308841890000,2,ramp_fwd,10.514310,0.1000
308841921000,2,ramp_fwd,10.517485,0.1000
308841953000,2,ramp_fwd,10.520660,0.1000
308841984000,2,ramp_fwd,10.523835,0.1000
308842015000,2,ramp_fwd,10.527010,0.1000
308842046000,2,ramp_fwd,10.530284,0.1000
308842078000,2,ramp_fwd,10.530284,0.1000
308842109000,2,ramp_fwd,10.533459,0.1000
308842140000,2,ramp_fwd,10.536634,0.1000
308842171000,2,ramp_fwd,10.539809,0.1000
308842203000,2,ramp_fwd,10.543084,0.1000
308842234000,2,ramp_fwd,10.546259,0.1000
308842265000,2,ramp_fwd,10.549434,0.1000
308842296000,2,ramp_fwd,10.552609,0.1000
308842328000,2,ramp_fwd,10.555784,0.1000
308842359000,2,ramp_fwd,10.558959,0.1000
308842390000,2,ramp_fwd,10.562233,0.1000
308842421000,2,ramp_fwd,10.565408,0.1000
308842453000,2,ramp_fwd,10.568583,0.1000
308842484000,2,ramp_fwd,10.571857,0.1000
308842515000,2,ramp_fwd,10.574933,0.1000
308842546000,2,ramp_fwd,10.578207,0.1000
308842578000,2,ramp_fwd,10.581382,0.1000
308842609000,2,ramp_fwd,10.584557,0.1000
308842640000,2,ramp_fwd,10.587732,0.1000
308842671000,2,ramp_fwd,10.591006,0.1000
308842703000,2,ramp_fwd,10.594181,0.1000
308842734000,2,ramp_fwd,10.597356,0.1000
308842765000,2,ramp_fwd,10.600531,0.1000
308842796000,2,ramp_fwd,10.603805,0.1000
308842828000,2,ramp_fwd,10.606980,0.1000
308842859000,2,ramp_fwd,10.610155,0.1000
308842890000,2,ramp_fwd,10.613330,0.1000
308842921000,2,ramp_fwd,10.616605,0.1000
308842953000,2,ramp_fwd,10.619680,0.1000
308842984000,2,ramp_fwd,10.622955,0.1000
308843015000,2,ramp_fwd,10.626130,0.1000
308843046000,2,ramp_fwd,10.629305,0.1000
308843078000,2,ramp_fwd,10.632579,0.1000
308843109000,2,ramp_fwd,10.635754,0.1000
308843140000,2,ramp_fwd,10.638929,0.1000
308843171000,2,ramp_fwd,10.642104,0.1000
308843203000,2,ramp_fwd,10.645279,0.1000
308843234000,2,ramp_fwd,10.648553,0.1000
308843265000,2,ramp_fwd,10.651728,0.1000
308843296000,2,ramp_fwd,10.654903,0.1000
308843328000,2,ramp_fwd,10.658078,0.1000
308843359000,2,ramp_fwd,10.661253,0.1000
308843390000,2,ramp_fwd,10.664428,0.1000
308843421000,2,ramp_fwd,10.667702,0.1000
308843453000,2,ramp_fwd,10.667702,0.1000
308843484000,2,ramp_fwd,10.670877,0.1000
308843515000,2,ramp_fwd,10.674052,0.1000
308843546000,2,ramp_fwd,10.677327,0.1000
308843578000,2,ramp_fwd,10.680502,0.1000
308843609000,2,ramp_fwd,10.683677,0.1000
308843640000,2,ramp_fwd,10.686852,0.1000
308843671000,2,ramp_fwd,10.690126,0.1000
308843703000,2,ramp_fwd,10.693301,0.1000
308843734000,2,ramp_fwd,10.696476,0.1000
308843765000,2,ramp_fwd,10.699651,0.1000
308843796000,2,ramp_fwd,10.702826,0.1000
308843828000,2,ramp_fwd,10.706001,0.1000
308843859000,2,ramp_fwd,10.709275,0.1000
308843890000,2,ramp_fwd,10.712450,0.1000
308843921000,2,ramp_fwd,10.715625,0.1000
