host_timestamp_s,monotonic_s,firmware_timestamp_us,voltage_V,raw_code
1777060351.469780,821843.484000,5959000,0.17033300,73157591
1777060351.472821,821843.484000,5962000,0.17033300,73157591
1777060351.475820,821843.484000,5965000,0.17033300,73157591
1777060351.478822,821843.484000,5968000,0.17033300,73157591
1777060351.481819,821843.484000,5971000,0.17033300,73157591
1777060351.484975,821843.500000,5974000,0.17033300,73157591
1777060351.487565,821843.500000,5977000,0.17033300,73157591
1777060351.490120,821843.500000,5980000,0.17033300,73157591
1777060351.493120,821843.500000,5983000,0.17033300,73157591
1777060351.497121,821843.500000,5986000,0.17033300,73157591
1777060351.500120,821843.515000,5989000,0.17033300,73157591
1777060351.503120,821843.515000,5992000,0.17033300,73157591
1777060351.506124,821843.515000,5995000,0.17033300,73157591
1777060351.509124,821843.515000,5998000,0.17033300,73157591
1777060351.512124,821843.515000,6001000,0.17033300,73157591
1777060351.515118,821843.531000,6004000,0.17033300,73157591
1777060351.517119,821843.531000,6007000,0.17033300,73157591
1777060351.521259,821843.531000,6010000,0.17033300,73157591
1777060351.524267,821843.531000,6013000,0.17033300,73157591
1777060351.527267,821843.531000,6016000,0.17033300,73157591
1777060351.530623,821843.546000,6019000,0.17033300,73157591
1777060351.532725,821843.546000,6022000,0.17033300,73157591
1777060351.535726,821843.546000,6025000,0.17033300,73157591
1777060351.538777,821843.546000,6028000,0.17033300,73157591
1777060351.542780,821843.546000,6031000,0.17033300,73157591
1777060351.545782,821843.546000,6034000,0.17033300,73157591
1777060351.548857,821843.562000,6037000,0.17033300,73157591
1777060351.551453,821843.562000,6040000,0.17033300,73157591
1777060351.554450,821843.562000,6043000,0.17033300,73157591
1777060351.557450,821843.562000,6046000,0.17033300,73157591
1777060351.560450,821843.562000,6049000,0.17033300,73157591
1777060351.563484,821843.578000,6052000,0.17033300,73157591
1777060351.566486,821843.578000,6055000,0.17033300,73157591
1777060351.569485,821843.578000,6058000,0.17033300,73157591
1777060351.572484,821843.578000,6061000,0.17033300,73157591
1777060351.575989,821843.578000,6064000,0.17033300,73157591
1777060351.578993,821843.593000,6067000,0.17033300,73157591
1777060351.581995,821843.593000,6070000,0.17033300,73157591
1777060351.584994,821843.593000,6073000,0.17033300,73157591
1777060351.587996,821843.593000,6076000,0.17033300,73157591
1777060351.590997,821843.593000,6079000,0.17033300,73157591
1777060351.593994,821843.609000,6082000,0.17033300,73157591
1777060351.596996,821843.609000,6085000,0.17033300,73157591
1777060351.599993,821843.609000,6088000,0.17033300,73157591
1777060351.602977,821843.609000,6091000,0.17033300,73157591
1777060351.605977,821843.609000,6094000,0.17033300,73157591
1777060351.608977,821843.625000,6097000,0.17033300,73157591
1777060351.611977,821843.625000,6100000,0.17033300,73157591
1777060351.614977,821843.625000,6103000,0.17033300,73157591
1777060351.618770,821843.625000,6106000,0.17033300,73157591
1777060351.620985,821843.625000,6109000,0.17033300,73157591
1777060351.623984,821843.625000,6112000,0.17033300,73157591
1777060351.626984,821843.640000,6115000,0.17033300,73157591
1777060351.629986,821843.640000,6118000,0.17033300,73157591
1777060351.633495,821843.640000,6121000,0.17033300,73157591
1777060351.636676,821843.640000,6124000,0.17033300,73157591
1777060351.639676,821843.640000,6127000,0.17033300,73157591
1777060351.642677,821843.656000,6130000,0.17033300,73157591
1777060351.645262,821843.656000,6133000,0.17033300,73157591
1777060351.648274,821843.656000,6136000,0.17033300,73157591
1777060351.652274,821843.656000,6139000,0.17033300,73157591
1777060351.655273,821843.656000,6142000,0.17033300,73157591
1777060351.658274,821843.671000,6145000,0.17033300,73157591
1777060351.660897,821843.671000,6148000,0.17033300,73157591
1777060351.664416,821843.671000,6151000,0.17033300,73157591
1777060351.666723,821843.671000,6154000,0.17033300,73157591
1777060351.669722,821843.671000,6157000,0.17033300,73157591
1777060351.672724,821843.687000,6160000,0.17033300,73157591
1777060351.675723,821843.687000,6163000,0.17033300,73157591
1777060351.678723,821843.687000,6166000,0.17033300,73157591
1777060351.681723,821843.687000,6169000,0.17033300,73157591
1777060351.684722,821843.687000,6172000,0.17033300,73157591
