t_s,v_trig,v_dac,v_out
0,0.2,0.2,0.6
1e-09,0.4,0.2,0.56
2e-09,0.64,0.2,0.6
3e-09,0.8,0.24,0.56
4e-09,1,0.2,0.6
5e-09,1.2,0.24,0.56
6e-09,1.4,0.2,0.56
7e-09,1.56,0.2,0.52
8e-09,1.8,0.16,0.56
9e-09,1.96,0.16,0.52
