step,load,from_v,to_v,code_from,code_to,repeat,v_base,v_final,span_v,settle_1pct_ms,settle_0p1pct_ms,overshoot_pct,rise_10_90_ms
small_up,unloaded,0.5,1.0,141,514,0,0.6,0.54,-0.06,nan,nan,33.3333,0.0
small_up,unloaded,0.5,1.0,141,514,1,0.6,0.52,-0.08,0.0,0.0,0.0,0.0
small_up,unloaded,0.5,1.0,141,514,2,0.584,0.54,-0.044,nan,nan,45.4545,0.0
mid_up,unloaded,0.5,2.5,141,1631,0,0.58,0.54,-0.04,nan,nan,50.0,0.0
mid_up,unloaded,0.5,2.5,141,1631,1,0.6,0.54,-0.06,nan,nan,33.3333,0.0
mid_up,unloaded,0.5,2.5,141,1631,2,0.6,0.52,-0.08,0.0,0.0,0.0,0.0
large_up,unloaded,0.5,5.0,141,3492,0,0.59,0.52,-0.07,0.0,0.0,0.0,0.0
large_up,unloaded,0.5,5.0,141,3492,1,0.6,0.54,-0.06,nan,nan,33.3333,0.0
large_up,unloaded,0.5,5.0,141,3492,2,0.6,0.52,-0.08,0.0,0.0,0.0,0.0
large_dn,unloaded,5.0,0.5,3492,141,0,5.08,5.08,0.0,0.0,0.0,0.0,nan
large_dn,unloaded,5.0,0.5,3492,141,1,5.08,5.08,0.0,0.0,0.0,0.0,nan
large_dn,unloaded,5.0,0.5,3492,141,2,5.08,5.08,0.0,0.0,0.0,0.0,nan
small_up,loaded,0.5,1.0,141,514,0,0.6,0.52,-0.08,0.0,0.0,0.0,0.0
small_up,loaded,0.5,1.0,141,514,1,0.592,0.52,-0.072,0.0,0.0,0.0,0.0
small_up,loaded,0.5,1.0,141,514,2,0.61,0.5,-0.11,nan,nan,18.1818,0.0
mid_up,loaded,0.5,2.5,141,1631,0,0.584,0.52,-0.064,0.0,0.0,0.0,0.0
mid_up,loaded,0.5,2.5,141,1631,1,0.59,0.52,-0.07,0.0,0.0,0.0,0.0
mid_up,loaded,0.5,2.5,141,1631,2,0.59,0.52,-0.07,0.0,0.0,0.0,0.0
large_up,loaded,0.5,5.0,141,3492,0,0.576,0.52,-0.056,0.0,0.0,0.0,0.0
large_up,loaded,0.5,5.0,141,3492,1,0.59,0.5,-0.09,nan,nan,22.2222,0.0
large_up,loaded,0.5,5.0,141,3492,2,0.59,0.5,-0.09,nan,nan,22.2222,0.0
large_dn,loaded,5.0,0.5,3492,141,0,5.08,5.08,0.0,0.0,0.0,0.0,nan
large_dn,loaded,5.0,0.5,3492,141,1,5.08,5.08,0.0,0.0,0.0,0.0,nan
large_dn,loaded,5.0,0.5,3492,141,2,5.08,5.08,0.0,0.0,0.0,0.0,nan
