t_s,v_trig,v_dac,v_out
0,0.32,0.2,0.6
1e-09,0.48,0.24,0.6
2e-09,0.72,0.2,0.6
3e-09,0.88,0.24,0.56
4e-09,1.08,0.2,0.6
5e-09,1.28,0.24,0.56
6e-09,1.48,0.2,0.52
7e-09,1.68,0.2,0.52
8e-09,1.92,0.16,0.52
9e-09,2.08,0.2,0.52
