src,hw_us,value,raw_code,seq
1,3805241069,4.51189800,1937845566,1865504
2,3805242078,1.89065300,3171990,1865506
1,3805243085,4.51189800,1937845566,1865505
2,3805244094,1.89065300,3171990,1865507
1,3805245101,4.51149300,1937671428,1865506
2,3805246110,1.89160700,3173590,1865508
3,3807442557,0.49378800,0,2916305
4,3807442557,0.09958900,0,2916305
1,3805247117,4.51209400,1937929589,1865507
2,3805248126,1.88754200,3166770,1865509
1,3805249127,4.51184800,1937823995,1865508
2,3805250136,1.88415100,3161080,1865510
1,3805251143,4.51032700,1937170830,1865509
2,3805252152,1.88673700,3165420,1865511
1,3805253159,4.51032700,1937170830,1865510
2,3805254168,1.88673700,3165420,1865512
1,3805255175,4.51027800,1937149765,1865511
2,3805256184,1.88827500,3168000,1865513
1,3805257191,4.51126700,1937574343,1865512
2,3805258200,1.88443700,3161560,1865514
1,3805259207,4.51089000,1937412226,1865513
2,3805260216,1.87848200,3151570,1865515
1,3805261223,4.51162700,1937728900,1865514
2,3805262232,1.88044900,3154870,1865516
1,3805263239,4.51162700,1937728900,1865515
2,3805264248,1.88044900,3154870,1865517
1,3805265255,4.51162500,1937728382,1865516
2,3805266264,1.88702300,3165900,1865518
1,3805267264,4.51038800,1937196826,1865517
2,3805268280,1.88082500,3155500,1865519
1,3805269280,4.51025100,1937138037,1865518
2,3805270289,1.87903600,3152500,1865520
1,3805271296,4.51106500,1937487602,1865519
2,3805272305,1.88418000,3161130,1865521
1,3805273312,4.51032900,1937171430,1865520
2,3805274321,1.88418000,3161130,1865522
1,3805275328,4.51032900,1937171430,1865521
2,3805276337,1.87945400,3153200,1865523
1,3805277344,4.51058800,1937282690,1865522
2,3805278353,1.88031200,3154640,1865524
1,3805279360,4.51036700,1937187823,1865523
2,3805280369,1.87878600,3152080,1865525
1,3805281376,4.50887600,1936547551,1865524
2,3805282385,1.88325600,3159580,1865526
1,3805283392,4.50854400,1936405051,1865525
2,3805284401,1.88325600,3159580,1865527
1,3805285408,4.50854400,1936405051,1865526
2,3805286417,1.88177200,3157090,1865528
1,3805287418,4.50974800,1936921795,1865527
2,3805288427,1.88326200,3159590,1865529
1,3805289434,4.50931100,1936734439,1865528
2,3805290443,1.87534700,3146310,1865530
1,3805291450,4.50976000,1936927376,1865529
2,3805292459,1.88068200,3155260,1865531
1,3805293466,4.51000000,1937030100,1865530
2,3805294475,1.88582500,3163890,1865532
1,3805295482,4.51000000,1937030100,1865531
2,3805296491,1.88582500,3163890,1865533
1,3805297498,4.50877100,1936502715,1865532
2,3805298507,1.88089000,3155610,1865534
1,3805299514,4.50835100,1936321890,1865533
2,3805300523,1.87546000,3146500,1865535
1,3805301530,4.50930300,1936731070,1865534
2,3805302539,1.88202300,3157510,1865536
1,3805303546,4.50882500,1936525443,1865535
2,3805304555,1.88596800,3164130,1865537
1,3805305556,4.50882500,1936525443,1865536
2,3805306565,1.88596800,3164130,1865538
