t_s,v_trig,v_dac,v_out
0,0.28,5.08,5.08
1e-09,0.48,5.08,5.08
2e-09,0.68,5.08,5.08
3e-09,0.88,5.08,5.08
4e-09,1.04,5.08,5.08
5e-09,1.28,5.08,5.08
6e-09,1.44,5.08,5.08
7e-09,1.68,5.08,5.08
8e-09,1.88,5.08,5.08
9e-09,2.08,5.08,5.08
