t_s,v_trig,v_dac,v_out
0,0.4,0.24,0.56
1e-09,0.6,0.2,0.6
2e-09,0.8,0.24,0.6
3e-09,1,0.2,0.6
4e-09,1.16,0.24,0.56
5e-09,1.36,0.2,0.56
6e-09,1.56,0.2,0.52
7e-09,1.8,0.2,0.52
8e-09,1.96,0.2,0.52
9e-09,2.2,0.2,0.52
