=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 18:54:53 =~=~=~=~=~=~=~=~=~=~=~=
── Commands ────────────────────────────────
  a  10 Hz  sine @ 400 SPS  (4000 samples)
  b  50 Hz  sine @ 400 SPS  (4000 samples)
  c  100 Hz sine @ 400 SPS  (4000 samples)
  d  100 Hz sine @ 1200 SPS (4000 samples)
  e  100 Hz sine @ 2400 SPS (4000 samples)
  r  Single reading
  h  Help
────────────────────────────────────────────
Waveform gen: 2.0Vpp sine, 1.2V offset
AIN0 = signal, AIN1 = GND
CSV output between CSV_START/CSV_END markers
Paste into Python script for amplitude/frequency analysis


══ Test C: 100 Hz @ 2400 SPS
   Signal: 2.0Vpp sine, 1.2V offset, 100 Hz
   Collecting 4000 samples at 400 SPS (poll mode)...

── CSV_START ────────────────────────────────
index,time_ms,voltage_V
  Sanity check: 1.8005 V  (should be ~1.2V if generator connected)

259,319,2.119823
260,321,1.082614
261,322,0.419829
262,323,0.287293
263,324,0.276559
264,325,0.805515
265,326,1.313417
266,327,1.790752
267,328,2.179931
268,330,1.813615
269,331,1.083046
270,332,0.605828
271,333,0.216858
272,334,0.276387
273,335,0.582941
274,336,1.312987
275,337,1.790183
276,338,2.179584
277,339,2.120139
278,340,1.813998
279,341,1.083881
280,343,0.216677
281,344,0.276048
282,345,0.582515
283,346,1.312627
284,348,2.179274
285,349,2.120313
286,350,1.814424
287,351,1.084221
288,352,0.607046
289,353,0.216994
290,354,0.275949
291,356,1.312183
292,357,1.975670
293,359,2.120723
294,360,1.593162
295,361,1.085290
296,362,0.607657
297,363,0.217636
298,365,0.581584
299,366,1.311657
300,367,1.789359
301,368,2.179558
302,369,2.120687
303,370,1.815360
304,371,1.085189
305,373,0.217353
306,374,0.275673
307,376,1.310992
308,377,1.975052
309,379,2.121249
310,380,1.593855
311,382,0.607923
312,383,0.217012
313,384,0.275252
314,385,0.802667
315,386,1.310473
316,387,1.787990
317,388,2.179175
318,390,1.816625
319,391,1.086932
320,393,0.217345
321,394,0.275330
322,395,0.580603
323,396,1.309952
324,397,1.974292
325,399,2.121026
326,400,1.594493
327,401,1.086777
328,402,0.608941
329,404,0.275033
330,405,0.801990
331,407,1.787424
332,408,2.179281
333,409,2.121645
334,410,1.816900
335,411,1.087343
336,413,0.217601
337,414,0.274542
338,416,1.308658
339,417,1.973342
340,418,2.178926
341,419,2.121800
342,420,1.595378
343,421,1.087408
344,422,0.609692
345,423,0.217922
346,425,0.579311
347,426,1.308162
348,427,1.786426
349,428,2.178937
350,429,2.122104
351,430,1.817760
352,431,1.088215
353,433,0.217392
354,434,0.274453
355,435,0.579000
356,436,1.308071
357,437,1.972913
358,438,2.106867
359,439,2.122013
360,440,1.818130
361,441,1.088984
362,443,0.217557
363,444,0.274064
364,446,1.307331
365,447,1.972741
366,449,2.122379
367,450,1.596892
368,451,1.089310
369,452,0.610876
370,453,0.217799
371,455,0.577693
372,456,1.306725
373,457,1.785361
374,458,2.178862
375,460,1.818994
376,461,1.089860
377,463,0.218150
378,464,0.273919
379,465,0.577282
380,466,1.306021
381,467,1.971833
382,468,2.178686
383,469,2.122751
384,470,1.597877
385,472,0.611554
386,473,0.218012
387,474,0.273798
388,475,0.577231
389,476,1.305851
390,477,1.784622
391,478,2.178368
392,479,2.122947
393,481,1.090630
394,482,0.424865
395,483,0.217785
396,484,0.273571
397,485,0.576956
398,486,1.304985
399,487,1.971188
400,488,2.178278
401,489,2.122833
402,491,1.091308
403,492,0.425334
404,494,0.273445
405,495,0.797725
406,496,1.305269
407,497,1.971174
408,499,2.123143
409,500,1.599260
410,502,0.613095
411,503,0.218084
412,504,0.273000
413,505,0.575786
414,506,1.304140
415,507,1.783486
416,508,2.178553
417,510,1.820855
418,511,1.092569
419,512,0.613600
420,513,0.218599
421,514,0.273211
422,516,1.303964
423,517,1.970585
424,518,2.178589
425,519,2.123883
426,520,1.821451
427,521,1.092710
428,522,0.426507
429,524,0.273000
430,525,0.796337
431,527,1.782370
432,528,2.177966
433,529,2.123724
434,530,1.821795
435,531,1.093568
436,533,0.217983
437,534,0.272303
438,535,0.574901
439,536,1.302755
440,538,2.177888
441,539,2.124019
442,541,1.094113
443,542,0.426897
444,544,0.272475
445,545,0.795451
446,546,1.302545
447,547,1.781717
448,548,2.178008
449,550,1.822509
450,551,1.094620
451,552,0.615177
452,553,0.218281
453,554,0.272122
454,555,0.573981
455,556,1.302011
456,558,2.178080
457,559,2.124232
458,560,1.822752
459,561,1.095142
460,562,0.427672
461,563,0.218519
462,564,0.272148
463,565,0.794261
464,567,1.780873
465,568,2.177890
466,569,2.124566
467,570,1.823292
468,571,1.095112
469,572,0.615763
470,573,0.218678
471,574,0.271995
472,576,1.300921
473,577,1.968597
474,579,2.124619
475,580,1.603475
476,581,1.096009
477,582,0.616323
478,583,0.218883
479,584,0.271697
480,585,0.573001
481,586,1.300312
482,587,1.780127
483,588,2.177786
484,589,2.125098
485,590,1.824368
486,591,1.096840
487,593,0.218638
488,594,0.271441
489,595,0.572538
490,596,1.299774
491,597,1.779434
492,598,2.177402
493,599,2.125007
494,601,1.097071
495,602,0.428842
496,603,0.218813
497,604,0.271264
498,605,0.792372
499,606,1.299435
500,607,1.779394
501,608,2.177736
502,610,1.825034
503,611,1.097480
504,612,0.617602
505,613,0.219157
506,614,0.271029
507,615,0.571442
508,616,1.298635
509,617,1.778793
510,618,2.177482
511,620,1.825123
512,621,1.097839
513,623,0.218977
514,624,0.270961
515,625,0.571272
516,626,1.298127
517,627,1.966845
518,628,2.177254
519,629,2.125602
520,630,1.605364
521,632,0.618167
522,633,0.218788
523,635,0.570705
524,636,1.297485
525,637,1.777809
526,638,2.177181
527,639,2.125798
528,641,1.099020
529,642,0.429865
530,644,0.270401
531,645,0.790568
532,646,1.297520
533,647,1.966103
534,649,2.125715
535,650,1.606142
536,651,1.099326
537,652,0.430448
538,653,0.219391
539,654,0.270389
540,655,0.790093
541,657,1.777282
542,658,2.177261
543,659,2.126005
