src,hw_us,value,raw_code,seq
3,17455777,0.47594200,0,0
4,17455777,0.02425200,0,0
2,15259187,1.85794800,3117120,5299
1,15260190,4.76571300,2046858303,5301
2,15261203,1.86040400,3121240,5300
1,15262206,4.76572700,2046864317,5302
2,15263219,1.85831200,3117730,5301
1,15264222,4.76752300,2047635758,5303
2,15265228,1.85911100,3119070,5302
1,15266238,4.76752300,2047635758,5304
2,15267244,1.85911100,3119070,5303
1,15268254,4.76763500,2047683672,5305
2,15269260,1.86028500,3121040,5304
1,15270270,4.76707400,2047442852,5306
2,15271276,1.85777000,3116820,5305
1,15272286,4.76796000,2047823105,5307
2,15273289,1.85784100,3116940,5306
1,15274299,4.76680700,2047327867,5308
2,15275311,1.86019500,3120890,5307
1,15276315,4.76680700,2047327867,5309
2,15277327,1.86019500,3120890,5308
1,15278331,4.76460200,2046380846,5310
2,15279337,1.85577900,3113480,5309
1,15280347,4.76712100,2047462747,5311
2,15281353,1.85847300,3118000,5310
1,15282363,4.76818600,2047920404,5312
2,15283369,1.87056700,3138290,5311
1,15284379,4.76713000,2047466719,5313
2,15285385,1.86724700,3132720,5312
1,15286395,4.76713000,2047466719,5314
2,15287398,1.86724700,3132720,5313
1,15288408,4.76693300,2047382080,5315
2,15289420,1.85868700,3118360,5314
1,15290424,4.76667000,2047269060,5316
2,15291436,1.85679800,3115190,5315
1,15292440,4.76524800,2046658476,5317
2,15293446,1.86485100,3128700,5316
1,15294456,4.76687100,2047355592,5318
2,15295462,1.85764400,3116610,5317
1,15296472,4.76717400,2047485674,5319
2,15297478,1.85764400,3116610,5318
1,15298488,4.76717400,2047485674,5320
2,15299494,1.85836000,3117810,5319
1,15300504,4.76807200,2047871522,5321
2,15301510,1.85946200,3119660,5320
1,15302520,4.76780100,2047754956,5322
2,15303526,1.85828200,3117680,5321
1,15304530,4.76840900,2048016293,5323
2,15305542,1.85455700,3111430,5322
1,15306546,4.76668600,2047276278,5324
2,15307558,1.85455700,3111430,5323
1,15308562,4.76668600,2047276278,5325
2,15309574,1.85840100,3117880,5324
1,15310578,4.76576200,2046879327,5326
2,15311590,1.86953500,3136560,5325
1,15312594,4.76605900,2047007035,5327
2,15313606,1.87129400,3139510,5326
1,15314610,4.76679100,2047321172,5328
2,15315622,1.86498800,3128930,5327
1,15316626,4.76735500,2047563521,5329
2,15317638,1.86443300,3128000,5328
1,15318642,4.76735500,2047563521,5330
2,15319654,1.86443300,3128000,5329
1,15320658,4.76543300,2046737986,5331
2,15321663,1.85974800,3120140,5330
1,15322674,4.76708800,2047448603,5332
2,15323679,1.85906900,3119000,5331
1,15324690,4.76626400,2047094993,5333
2,15325695,1.86442700,3127990,5332
1,15326706,4.76519900,2046637204,5334
2,15327711,1.86981600,3137030,5333
1,15328722,4.76519900,2046637204,5335
2,15329727,1.86981600,3137030,5334
1,15330738,4.76677900,2047316015,5336
2,15331743,1.86013600,3120790,5335
1,15332754,4.76815900,2047908689,5337
2,15333759,1.85803200,3117260,5336
1,15334770,4.76621200,2047072632,5338
2,15335775,1.86664500,3131710,5337
1,15336779,4.76630100,2047110811,5339
2,15337791,1.86508900,3129100,5338
1,15338795,4.76630100,2047110811,5340
2,15339807,1.86508900,3129100,5339
1,15340811,4.76706700,2047439562,5341
2,15341823,1.86407600,3127400,5340
1,15342827,4.76813600,2047898852,5342
2,15343839,1.86412900,3127490,5341
