t_s,v_trig,v_dac,v_out
0,0.24,5.08,5.08
1e-09,0.48,5.08,5.08
2e-09,0.68,5.08,5.08
3e-09,0.84,5.08,5.08
4e-09,1,5.08,5.08
5e-09,1.24,5.08,5.08
6e-09,1.4,5.08,5.08
7e-09,1.64,5.08,5.08
8e-09,1.84,5.08,5.08
9e-09,2.04,5.08,5.08
