level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
150,100,1,1,126.05,75.52,-3814.83,1.95909,1.99718,0.03809,0
150,100,2,0,155.08,16.56,-3649.47,2.01263,2.03235,0.01971,0
150,100,3,0,155.15,35.68,-3626.08,2.02161,2.04605,0.02444,0
150,100,4,0,159.76,17.74,-3628.39,2.01935,2.03954,0.02019,0
150,100,5,0,157.17,12.37,-3602.82,2.02850,2.04696,0.01846,0
150,100,6,0,158.00,16.43,-3630.70,2.01818,2.03627,0.01808,0
250,100,1,1,252.17,46.09,-3648.40,2.01369,2.04282,0.02913,0
250,100,2,0,252.06,65.49,-3591.98,2.03233,2.06310,0.03078,0
250,100,3,0,254.45,53.26,-3623.61,2.02033,2.04973,0.02940,0
250,100,4,0,250.58,55.39,-3670.20,2.00648,2.03767,0.03120,0
250,100,5,0,251.25,50.78,-3631.70,2.01827,2.05200,0.03373,0
350,100,1,1,349.42,113.76,-3626.94,2.02172,2.06799,0.04626,0
350,100,2,0,350.69,96.57,-3611.92,2.02481,2.06976,0.04495,0
350,100,3,0,351.75,105.25,-3630.43,2.01897,2.06319,0.04422,0
350,100,4,0,352.81,101.14,-3584.42,2.03286,2.07759,0.04473,0
350,100,5,0,355.04,99.49,-3636.93,2.01588,2.06117,0.04529,0
450,100,1,1,447.13,181.35,-3660.17,2.00837,2.07598,0.06761,0
450,100,2,0,448.64,173.24,-3630.03,2.01953,2.08695,0.06741,0
450,100,3,0,446.29,167.40,-3645.80,2.01278,2.07652,0.06374,0
450,100,4,0,447.08,176.75,-3672.28,2.00624,2.07271,0.06647,0
450,100,5,0,445.72,176.31,-3665.71,2.00714,2.07551,0.06836,0
550,100,1,1,560.80,266.95,-3640.03,2.01610,2.11020,0.09410,0
550,100,2,0,545.68,262.83,-3661.03,2.01012,2.10050,0.09038,0
550,100,3,0,544.94,253.69,-3618.38,2.02417,2.11169,0.08751,0
