t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,sma_power_W,stage_mm
0.58999944,5023.52,0.47605813,1.0032879,0.25451826,3.8450561,0.25535993,79.999979
0.59999943,5023.8808,0.49203535,1.0034946,0.25596349,3.823271,0.25686203,79.999979
0.60999942,5023.5358,0.48561669,1.0037012,0.25740871,3.8014859,0.25836412,79.999979
0.61999941,5023.1573,0.47251546,1.0039079,0.25885394,3.7797009,0.25986621,79.999979
0.6299994,5023.2533,0.4742588,1.0025134,0.25893255,3.7717489,0.25959029,79.999979
0.63999939,5023.7395,0.49137602,1.0004628,0.25845119,3.7710109,0.25858582,79.999979
0.64999938,5024.1237,0.49137602,0.99841226,0.25796983,3.7702729,0.25758136,79.999979
0.65999937,5023.4041,0.47717291,0.99636168,0.25748848,3.7695349,0.25657689,79.999979
0.66999936,5023.2979,0.48406731,0.99431109,0.25700712,3.7687969,0.25557242,79.999979
0.67999935,5023.3898,0.48228078,0.99226051,0.25652576,3.7680588,0.25456796,79.999979
0.68999934,5022.9421,0.47734638,0.99020992,0.2560444,3.7673208,0.25356349,79.999979
0.69999933,5022.9749,0.47088082,0.98815934,0.25556304,3.7665828,0.25255903,79.999979
0.70999932,5023.0077,0.47423335,0.98610876,0.25508168,3.7658448,0.25155456,79.999979
0.71999931,5023.3414,0.47431305,0.98405817,0.25460032,3.7651068,0.2505501,79.999979
0.7299993,5023.1555,0.47171749,0.98237425,0.25410309,3.7660696,0.24962359,79.999979
0.73999929,5022.9492,0.46985421,0.98378197,0.25347204,3.7813737,0.24935446,79.999979
0.74999928,5022.9115,0.47114147,0.98518969,0.25284099,3.7966778,0.24908532,79.999979
0.75999928,5023.0431,0.47540877,0.9865974,0.25220994,3.8119819,0.24881619,79.999979
0.76999927,5023.1747,0.47967607,0.98800512,0.25157889,3.827286,0.24854705,79.999979
0.77999926,5023.5307,0.48107648,0.98941284,0.25094783,3.8425901,0.24827791,79.999979
0.78999925,5022.5855,0.46741303,0.99082055,0.25031678,3.8578942,0.24800878,79.999979
0.79999924,5022.9195,0.47064892,0.99222827,0.24968573,3.8731983,0.24773964,79.999979
0.80999923,5022.7983,0.47266998,0.993366,0.24909694,3.8883337,0.24748008,79.999979
0.81999922,5023.2128,0.47378408,0.99238317,0.24916184,3.8833642,0.24729569,79.999979
0.82999921,5023.2128,0.47128559,0.99140035,0.24922674,3.8783948,0.2471113,79.999979
0.8399992,5022.9397,0.47366331,0.99041752,0.24929164,3.8734254,0.24692691,79.999979
0.84999919,5023.0903,0.46788566,0.9894347,0.24935654,3.868456,0.24674252,79.999979
0.85999918,5022.9918,0.47567627,0.98845187,0.24942144,3.8634865,0.24655813,79.999979
0.86999917,5022.6061,0.45559346,0.98746904,0.24948634,3.8585171,0.24637374,79.999979
0.87999916,5023.0149,0.47001842,0.98648622,0.24955124,3.8535477,0.24618935,79.999979
0.88999915,5022.7268,0.47012103,0.98550339,0.24961613,3.8485783,0.24600496,79.999979
0.89999914,5022.8443,0.4671199,0.98452057,0.24968103,3.8436088,0.24582057,79.999979
0.90999913,5022.0873,0.45607376,0.98353774,0.24974593,3.8386394,0.24563618,79.999979
0.91999912,5022.7414,0.459485,0.98430519,0.24967832,3.8406744,0.24573816,79.999979
0.92999911,5022.1889,0.46264388,0.98765448,0.24936654,3.8591758,0.24626257,79.999979
0.9399991,5022.8251,0.46155827,0.99100376,0.24905477,3.8776773,0.24678698,79.999979
0.94999909,5022.2369,0.4654353,0.99435305,0.248743,3.8961787,0.24731139,79.999979
0.95999908,5021.9698,0.45385114,0.99770233,0.24843123,3.9146802,0.2478358,79.999979
0.96999907,5023.2449,0.47984703,1.0010516,0.24811945,3.9331816,0.24836022,79.999979
0.97999907,5022.5074,0.46225209,1.0044009,0.24780768,3.9516831,0.24888463,79.999979
0.98999906,5022.8082,0.46935998,1.0077502,0.24749591,3.9701846,0.24940904,79.999979
0.99999905,5022.6504,0.46702602,1.0088105,0.24721913,3.9809115,0.24940252,79.999979
1.009999,5022.4719,0.46325677,1.0076513,0.24698426,3.9800642,0.24888119,79.999979
1.019999,5022.345,0.4608672,1.0064921,0.24674939,3.9792169,0.24835987,79.999979
1.029999,5022.3735,0.46040388,1.005333,0.24651452,3.9783696,0.24783855,79.999979
1.039999,5021.7757,0.44897579,1.0041738,0.24627965,3.9775223,0.24731722,79.999979
1.049999,5022.4488,0.46184344,1.0030147,0.24604479,3.976675,0.2467959,79.999979
1.059999,5021.9738,0.45255231,1.0018555,0.24580992,3.9758277,0.24627458,79.999979
1.069999,5022.0684,0.4554267,1.0006963,0.24557505,3.9749804,0.24575325,79.999979
1.079999,5021.9358,0.4567477,0.99953715,0.24534018,3.9741331,0.24523193,79.999979
1.089999,5021.998,0.45627445,0.99837799,0.24510531,3.9732858,0.2447106,79.999979
1.099999,5022.3536,0.45894124,0.9972628,0.24495491,3.9712978,0.24428437,79.999979
1.1099989,5021.5565,0.45093648,0.99718426,0.24679545,3.9424216,0.24609955,79.999979
1.1199989,5021.6232,0.45020761,0.99710571,0.248636,3.9135453,0.24791473,79.999979
1.1299989,5022.2887,0.46509717,0.99702717,0.25047655,3.8846691,0.24972991,79.999979
1.1399989,5022.6836,0.4670037,0.99694862,0.25231709,3.8557929,0.25154509,79.999979
1.1499989,5021.3485,0.44625599,0.99687008,0.25415764,3.8269167,0.25336027,79.999979
1.1599989,5022.795,0.46225172,0.99679154,0.25599819,3.7980404,0.25517545,79.999979
1.1699989,5021.9733,0.46561413,0.99671299,0.25783873,3.7691642,0.25699063,79.999979
1.1799989,5022.3192,0.46136692,0.99714483,0.25845129,3.7565037,0.25770858,79.999979
1.1899989,5022.6654,0.46690986,0.998261,0.25741734,3.7772039,0.25695534,79.999979
1.1999989,5022.1724,0.46223901,0.99937717,0.25638338,3.797904,0.25620209,79.999979
1.2099988,5021.6795,0.44385583,1.0004933,0.25534943,3.8186042,0.25544885,79.999979
1.2199988,5022.1924,0.45962573,1.0016095,0.25431547,3.8393043,0.2546956,79.999979
1.2299988,5021.9794,0.45357511,1.0027257,0.25328151,3.8600045,0.25394236,79.999979
1.2399988,5021.8767,0.4496651,1.0038419,0.25224756,3.8807046,0.25318911,79.999979
1.2499988,5022.1948,0.46365582,1.004958,0.2512136,3.9014048,0.25243587,79.999979
1.2599988,5022.5218,0.46365582,1.0060742,0.25017964,3.9221049,0.25168262,79.999979
1.2699988,5022.2955,0.45664258,1.0071904,0.24914569,3.9428051,0.25092938,79.999979
1.2799988,5022.1292,0.45486107,1.0073271,0.24810868,3.9605775,0.24993075,79.999979
1.2899988,5021.7035,0.44534138,1.0050328,0.24706142,3.9685193,0.24832301,79.999979
1.2999988,5022.3982,0.45715526,1.0027384,0.24601416,3.9764611,0.24671528,79.999979
1.3099988,5021.2641,0.43895544,1.000444,0.2449669,3.9844029,0.24510755,79.999979
1.3199987,5021.2076,0.44721981,0.99814969,0.24391964,3.9923447,0.24349981,79.999979
1.3299987,5021.7822,0.44449087,0.99585534,0.24287238,4.0002865,0.24189208,79.999979
1.3399987,5021.4368,0.45050883,0.99356098,0.24182512,4.0082283,0.24028435,79.999979
1.3499987,5021.0105,0.44055892,0.99126662,0.24077786,4.0161701,0.23867661,79.999979
1.3599987,5021.5127,0.4460718,0.99290634,0.24142804,4.0132209,0.23972513,79.999979
1.3699987,5020.7171,0.43316067,0.99493335,0.24224532,4.0077233,0.24103515,79.999979
1.3799987,5021.9418,0.45358914,0.99696035,0.2430626,4.0022257,0.24234516,79.999979
1.3899987,5022.1436,0.45277911,0.99898736,0.24387988,3.9967282,0.24365518,79.999979
1.3999987,5022.433,0.46283546,1.0010144,0.24469716,3.9912306,0.24496519,79.999979
1.4099987,5021.0009,0.43215506,1.0030414,0.24551444,3.9857331,0.2462752,79.999979
1.4199986,5021.0806,0.44350655,1.0050684,0.24633173,3.9802355,0.24758522,79.999979
1.4299986,5021.5941,0.44617176,1.0046354,0.24716594,3.9650127,0.24830186,79.999979
1.4399986,5020.3014,0.42436184,1.0023014,0.24801323,3.9422742,0.24855994,79.999979
1.4499986,5020.4848,0.42776352,0.99996742,0.24886052,3.9195356,0.24881802,79.999979
1.4599986,5021.202,0.42968811,0.99763341,0.24970781,3.896797,0.24907609,79.999979
1.4699986,5021.1236,0.43953786,0.99529939,0.25055511,3.8740585,0.24933417,79.999979
1.4799986,5020.8303,0.42672278,0.99296538,0.2514024,3.8513199,0.24959225,79.999979
1.4899986,5020.688,0.42927548,0.99063137,0.25224969,3.8285814,0.24985033,79.999979
1.4999986,5020.6173,0.42329297,0.98829736,0.25309698,3.8058428,0.2501084,79.999979
1.5099986,5021.0801,0.43115724,0.98596335,0.25394427,3.7831042,0.25036648,79.999979
1.5199986,5021.5429,0.43495186,0.98454882,0.25452977,3.7681089,0.2505959,79.999979
1.5299985,5021.3183,0.44536629,0.98645889,0.25416871,3.7811111,0.25072168,79.999979
1.5399985,5021.1374,0.43713391,0.98836897,0.25380765,3.7941133,0.25084746,79.999979
1.5499985,5019.9419,0.41812305,0.99027904,0.25344658,3.8071154,0.25097324,79.999979
1.5599985,5020.3404,0.42355429,0.99218912,0.25308552,3.8201176,0.25109903,79.999979
1.5699985,5020.1212,0.41840221,0.99409919,0.25272445,3.8331198,0.25122481,79.999979
1.5799985,5020.1223,0.41875504,0.99600926,0.25236339,3.846122,0.25135059,79.999979
1.5899985,5020.4804,0.42816303,0.99791934,0.25200232,3.8591241,0.25147638,79.999979
1.5999985,5020.2027,0.42731046,0.99788603,0.25122627,3.87152,0.25069957,79.999979
1.6099985,5020.0469,0.41690035,0.99691728,0.25025045,3.8835186,0.24948829,79.999979
1.6199985,5020.1526,0.41766262,0.99594853,0.24927464,3.8955172,0.24827701,79.999979
