cycle,t_fire_s,R0_ref_ohm,R_pre_ohm,R_pre_norm,R_fire_ohm,dR_fire_ohm,dR_fire_pct,R_end_ohm,R_end_norm,F_pre_N,dF_peak_N,t_F_peak_s,dF_end_N,dDisp_peak_um,dDisp_in_fire_um,dDisp_at_Fpeak_um
1,0,3.88577,3.86392,0.994377,3.87787,0.013949,-0.203296,nan,nan,0.313865,-0.00520633,0.128942,nan,-28.6368,-11.1021,-24.8491
2,3.26258,3.88577,nan,nan,3.88572,nan,-0.00117362,3.96401,1.02014,nan,nan,-0.008686,nan,nan,nan,nan
3,8.80908,3.88577,nan,nan,3.89068,nan,0.126578,nan,nan,nan,nan,-0.000841,nan,nan,nan,nan
4,12.7199,3.88577,nan,nan,3.92476,nan,1.00351,nan,nan,nan,nan,-0.000684,nan,nan,nan,nan
5,16.4852,3.88577,nan,nan,3.89272,nan,0.178952,nan,nan,nan,nan,-0.009022,nan,nan,nan,nan
6,20.3052,3.88577,nan,nan,3.92678,nan,1.0555,nan,nan,nan,nan,-0.001344,nan,nan,nan,nan
7,24.2517,3.88577,nan,nan,3.91333,nan,0.709355,nan,nan,nan,nan,-0.009131,nan,nan,nan,nan
8,28.2659,3.88577,nan,nan,3.94755,nan,1.5899,nan,nan,nan,nan,0.000297,nan,nan,nan,nan
9,32.1243,3.88577,nan,nan,3.91408,nan,0.728708,nan,nan,nan,nan,-0.008484,nan,nan,nan,nan
10,36.1511,3.88577,nan,nan,3.90653,nan,0.534246,nan,nan,nan,nan,-0.007703,nan,nan,nan,nan
