level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,sweep,run_type,i_low_mA,seeded
750,400,1,1,30.0,330.7016282051282,1.4851447717948718,4.490890413377897,44.1,1.942116,433.395,4.481168449105319,0.8417033638199999,4.749264492227226,33.804875,34.204875,2026-07-31T17:44:41.541908+00:00,749.1164164614706,-4234.864999495303,1.7982213439153438,2.04376,0.24553865608465597,176.2812567317693,24.0703754392043,0,0,1,390,sweep_20260731_134414,probe,100,0
750,400,2,0,30.0,750.2430654911839,3.2378626523929475,4.315751522838961,100.0,3.096578,747.739,4.1412551705875975,2.3154321371420004,4.73025068068726,65.124192,65.524192,2026-07-31T17:45:12.813677+00:00,3949.2579691944948,-4020.9337551589906,1.8653820531914893,3.135592,1.2702099468085106,182.8650815063201,124.51982426649444,0,0,1,397,sweep_20260731_134414,probe,100,0
750,400,3,0,30.0,750.2346352040818,3.2313929974489795,4.307176509612841,100.0,3.0922475,752.2524999999999,4.110651011462242,2.32615091249375,4.718103205188458,96.487445,96.887445,2026-07-31T17:45:44.129315+00:00,3752.1215576577547,-3691.717073277127,1.9696692063492065,3.160012,1.1903427936507935,193.0884449881443,116.69037536251464,0,0,1,392,sweep_20260731_134414,probe,100,0
750,400,4,0,30.0,749.9449924050632,3.234230118987342,4.312623128017978,100.0,3.104281,752.4329999999999,4.125657699755327,2.3357634656729998,4.692325646531603,127.849492,128.249492,2026-07-31T17:46:15.443749+00:00,3783.4843483085433,-3656.558607753549,1.982483703703704,3.178471,1.195987296296296,194.3446616967716,117.24371103686967,0,0,1,395,sweep_20260731_134414,probe,100,0
950,300,1,1,30.0,352.7345841924398,1.5965607079037802,4.52623808226514,37.1,2.046662,461.99,4.430100218619451,0.94553737738,5.214502918471097,183.699427,183.999427,2026-07-31T17:47:11.094089+00:00,814.0414228695759,-4219.80539710234,1.804214402116402,2.070439,0.266224597883598,176.8687616209332,26.09823693097036,0,0,1,291,sweep_20260731_134414,probe,100,0
950,300,2,0,30.0,950.2216275167783,4.039941563758389,4.251578207408308,100.0,3.846968,947.939,4.058244254113398,3.6466909989519998,4.744523417274652,214.913198,215.213198,2026-07-31T17:47:42.260612+00:00,6230.991732995461,-4034.534549671329,1.8603248244680854,3.901958,2.0416331755319144,182.36931682309122,200.1431376542387,0,0,1,298,sweep_20260731_134414,probe,100,0
950,300,3,0,30.0,949.9611160409556,4.032921317406144,4.245354098506357,100.0,3.8387855,951.4425,4.03470046797363,3.65238367308375,4.735551002294466,246.17274,246.47274,2026-07-31T17:48:13.472836+00:00,5910.948040116338,-3556.9543637545194,2.0116346666666667,3.914642,1.9030073333333335,197.2023568317117,186.5535215811374,0,0,1,293,sweep_20260731_134414,probe,100,0
950,300,4,0,30.0,950.5548082191781,4.030257510273972,4.23990018821164,100.1,3.8323915,945.882,4.05165919216139,3.624990136803,4.735606731620903,277.430628,277.730628,2026-07-31T17:48:44.683408+00:00,5983.146100020189,-3581.5525817470443,2.0041840212765956,3.909093,1.9049089787234044,196.47196335858968,186.7399415901948,0,0,1,292,sweep_20260731_134414,probe,100,0
850,400,1,1,30.0,363.7099898734177,1.6468633873417722,4.527957529885091,42.8,2.1851355000000003,483.83200000000005,4.51631041353197,1.0572384792360003,4.883458844594239,333.344892,333.744892,2026-07-31T17:49:40.751856+00:00,1069.9902984639962,-4249.183444681959,1.7919144680851065,2.137989,0.3460745319148937,175.66298801798308,33.92599782848996,0,0,1,395,sweep_20260731_134414,probe,100,0
850,400,2,0,30.0,850.6881139240505,3.6170521569620253,4.251913360205895,100.1,3.465475,854.518,4.055473377974484,2.96131076605,4.683817636204357,364.661611,365.061611,2026-07-31T17:50:12.022337+00:00,6832.325385654036,-4021.4877317330693,1.864806,4.081303,2.2164970000000004,182.8086104935142,217.28519574317266,0,0,1,395,sweep_20260731_134414,probe,100,0
