level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
200,100,1,1,203.90,21.78,-4667.83,2.93831,2.95947,0.02116,0
200,100,2,0,205.66,23.01,-4621.02,2.97538,2.99774,0.02236,0
200,100,3,0,199.88,22.05,-4658.03,2.94715,2.96922,0.02207,0
200,100,4,0,199.82,14.92,-4628.28,2.96905,2.98585,0.01680,0
200,100,5,0,206.74,31.68,-4645.86,2.95545,2.98620,0.03075,0
200,100,6,0,201.67,14.08,-4653.27,2.95016,2.96593,0.01576,0
200,200,1,1,197.19,44.84,-4670.13,2.93600,2.97717,0.04117,0
200,200,2,0,202.37,17.68,-4648.57,2.95374,2.97345,0.01971,0
200,200,3,0,200.23,23.01,-4631.03,2.96787,2.99101,0.02314,0
200,200,4,0,199.93,15.46,-4635.19,2.96373,2.98241,0.01868,0
200,200,5,0,200.29,17.70,-4643.10,2.95789,2.97717,0.01929,0
200,200,6,0,200.38,27.46,-4628.66,2.96924,2.99712,0.02789,0
200,300,1,1,200.73,29.88,-4672.39,2.93390,2.96429,0.03039,0
200,300,2,0,202.16,26.33,-4620.62,2.97548,3.00095,0.02547,0
200,300,3,0,203.41,32.98,-4623.46,2.97425,3.00340,0.02916,0
200,300,4,0,199.05,30.33,-4628.24,2.96923,2.99808,0.02885,0
200,300,5,0,197.84,32.02,-4646.55,2.95515,2.98581,0.03065,0
200,300,6,0,198.55,38.90,-4660.24,2.94442,2.97889,0.03447,0
200,400,1,1,201.71,38.90,-4678.02,2.92841,2.96452,0.03610,0
200,400,2,0,199.58,30.56,-4638.71,2.96051,2.99162,0.03110,0
200,400,3,0,202.56,33.15,-4654.47,2.94868,2.97808,0.02940,0
200,400,4,0,203.00,41.87,-4619.87,2.97616,3.01436,0.03819,0
200,400,5,0,198.15,27.19,-4629.88,2.96835,2.99246,0.02411,0
200,400,6,0,201.13,42.80,-4631.89,2.96629,3.00407,0.03778,0
250,500,1,1,249.44,75.85,-4683.45,2.92451,2.98634,0.06183,0
250,500,2,0,251.49,80.72,-4649.48,2.95285,3.01818,0.06533,0
250,500,3,0,247.19,82.71,-4649.32,2.95275,3.02270,0.06994,0
250,500,4,0,250.69,80.58,-4633.15,2.96592,3.02870,0.06278,0
250,500,5,0,253.98,81.09,-4650.43,2.95227,3.01901,0.06674,0
250,500,6,0,249.76,85.72,-4641.88,2.95861,3.02792,0.06931,0
350,500,1,1,347.73,171.34,-4676.06,2.93067,3.06445,0.13378,0
350,500,2,0,348.56,186.49,-4614.12,2.98027,3.12544,0.14517,0
350,500,3,0,350.07,179.98,-4635.54,2.96386,3.10690,0.14305,0
350,500,4,0,349.68,190.73,-4622.83,2.97367,3.12408,0.15041,0
350,500,5,0,350.43,168.16,-4647.20,2.95336,3.08605,0.13269,0
350,500,6,0,350.26,190.06,-4628.64,2.96894,3.11636,0.14742,0
450,500,1,1,447.89,342.37,-4684.43,2.92410,3.19250,0.26840,0
450,500,2,0,447.66,330.59,-4627.57,2.96836,3.22551,0.25715,0
450,500,3,0,449.15,329.06,-4649.19,2.94997,3.20589,0.25592,0
450,500,4,0,449.33,340.48,-4597.75,2.99095,3.25629,0.26534,0
450,500,5,0,449.27,325.82,-4626.47,2.96868,3.22576,0.25708,0
450,500,6,0,449.20,360.48,-4603.01,2.98629,3.26681,0.28051,0
550,500,1,1,547.92,583.65,-4679.33,2.92863,3.38388,0.45525,0
550,500,2,0,549.00,640.01,-4592.65,2.99439,3.49827,0.50388,0
550,500,3,0,547.86,623.62,-4616.37,2.97677,3.46573,0.48896,0
550,500,4,0,548.78,629.57,-4597.82,2.99007,3.48480,0.49473,0
550,500,5,0,549.05,546.30,-4628.09,2.96816,3.38969,0.42153,0
550,500,6,0,548.47,600.58,-4589.88,2.99687,3.46669,0.46982,0
650,500,1,1,648.96,1109.06,-4674.04,2.93525,3.80920,0.87395,0
650,500,2,0,648.52,1180.65,-4596.80,2.99439,3.93550,0.94110,0
650,500,3,0,648.26,1109.10,-4585.25,3.00324,3.87977,0.87652,0
650,500,4,0,648.17,1100.53,-4593.17,2.99760,3.87422,0.87662,0
650,500,5,0,648.80,1158.93,-4563.90,3.01847,3.95129,0.93282,0
650,500,6,0,648.62,1044.14,-4577.74,3.00918,3.85461,0.84543,0
750,500,1,1,748.07,2241.01,-4670.04,2.93806,4.73468,1.79662,0
750,500,2,0,747.90,2317.84,-4540.90,3.03684,4.90457,1.86773,0
750,500,3,0,747.83,2289.50,-4524.90,3.04835,4.87381,1.82546,0
750,500,4,0,747.55,2190.90,-4516.48,3.05465,4.80432,1.74967,0
750,500,5,0,748.58,2214.48,-4548.99,3.02976,4.79349,1.76373,0
750,500,6,0,747.41,2465.32,-4514.18,3.05639,5.00000,1.94361,1
850,500,1,1,848.10,4520.10,-4674.41,2.93500,5.00000,2.06500,1
850,500,2,0,847.87,4622.01,-4478.32,3.08580,5.00000,1.91420,1
850,500,3,0,847.94,4520.35,-4455.64,3.10268,5.00000,1.89732,1
