level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,sweep,run_type,i_low_mA,seeded
250,100,1,1,30.0,253.2444269662921,1.0071175505617977,3.976859679110922,101.3,0.980812,247.567,3.961804279245618,0.242816684404,3.8331601084820632,30.797577,30.897577,2026-08-05T14:53:45.226957+00:00,26.8381242716614,-4301.114900852012,3.2502250211640202,3.275222,0.024996978835979622,318.62248400651185,2.4504763324127103,0,0,0,89,sweep_20260805_105318,map,0,1
250,100,2,0,30.0,254.59618947368418,0.9700969263157896,3.8103356076193817,101.8,0.966943,245.71599999999998,3.935205684611503,0.23759336618799998,4.0643506720835,61.867511,61.967511,2026-08-05T14:54:16.273931+00:00,15.326085684039754,-4256.187552268485,3.2836030687830684,3.299552,0.015948931216931417,321.89456405463727,1.5634880811322278,0,0,0,95,sweep_20260805_105318,map,0,1
250,100,3,0,30.0,244.64575,0.9879121875,4.038133454188352,97.9,0.992258,247.00900000000001,4.01709249460546,0.245096656322,4.020607603970674,92.936098,93.036098,2026-08-05T14:54:47.319558+00:00,23.732475476941545,-4280.5784089146655,3.2651836010638298,3.289074,0.023890398936170065,320.08888705671677,2.341997308919523,0,0,0,96,sweep_20260805_105318,map,0,1
250,100,4,0,30.0,251.34451041666668,0.9787531666666668,3.8940701949055403,100.5,0.9843515,251.05500000000004,3.920859970922706,0.24712636583250003,4.0139662999402255,124.00472,124.10472,2026-08-05T14:55:18.365221+00:00,15.533218283580936,-4264.82987103328,3.2770779893617026,3.290588,0.013510010638297487,321.2549046464309,1.3243985017957678,0,0,0,96,sweep_20260805_105318,map,0,1
250,100,5,0,30.0,249.324182795699,0.9681442043010752,3.8830738095485553,99.7,0.92356,239.654,3.8537224498652223,0.22133484824000002,4.022140788558301,155.077677,155.177677,2026-08-05T14:55:49.415216+00:00,30.983106245963427,-4263.742856754091,3.2792166914893612,3.306425,0.027208308510638712,321.4645635408236,2.667254970602154,0,0,0,93,sweep_20260805_105318,map,0,1
250,100,6,0,30.0,248.80317708333337,0.9676945624999999,3.889397932309696,99.5,1.0055625,262.8335000000001,3.8258536297694157,0.26429551134375,3.988232833852118,186.145096,186.245096,2026-08-05T14:56:20.459676+00:00,17.12983531113332,-4266.547019418279,3.2761758835978836,3.291398,0.015222116402116459,321.1664704065143,1.4922377707072165,0,0,0,96,sweep_20260805_105318,map,0,1
350,100,1,1,30.0,343.82602222222226,1.3388422666666668,3.8939526973945675,98.2,1.3394024999999998,343.267,3.9019261973915347,0.45977267796749993,3.983343055285501,239.901797,240.001797,2026-08-05T14:57:14.800171+00:00,37.85168672602413,-4308.379938089809,3.24661362962963,3.278899,0.032285370370369826,318.26845604416627,3.164963914034909,0,0,1,90,sweep_20260805_105318,map,0,1
350,100,2,0,30.0,353.91492783505157,1.3657911649484535,3.8590945380665183,101.1,1.26923,338.231,3.7525537280734174,0.42929293213,3.984350963668141,270.970904,271.070904,2026-08-05T14:57:45.847250+00:00,36.36673392320063,-4266.878574614964,3.275846031914894,3.309047,0.0332009680851062,321.1341347491664,3.254720782042623,0,0,1,97,sweep_20260805_105318,map,0,1
350,100,3,0,30.0,349.45008163265305,1.3264038163265306,3.7956889582898,99.8,1.313836,344.812,3.810296625407468,0.453026418832,3.9947915408827814,302.039825,302.139825,2026-08-05T14:58:16.894143+00:00,33.00412162781595,-4287.72267660662,3.260693340425532,3.289229,0.02853565957446813,319.64870276513847,2.797376389996849,0,0,1,98,sweep_20260805_105318,map,0,1
350,100,4,0,30.0,354.3760206185567,1.361721350515464,3.8425888640506907,101.3,1.3408060000000002,345.13899999999995,3.884829010920239,0.462764442034,3.9893648758697986,333.109506,333.209506,2026-08-05T14:58:47.941795+00:00,35.66232223833049,-4234.747620332045,3.3007089312169318,3.334838,0.034129068783068206,323.57146714419605,3.3457033287485514,0,0,1,97,sweep_20260805_105318,map,0,1
