index,time_ms,voltage_V
  Sanity check: 1.3435 V  (should be ~1.2V if generator connected)

350,702,2.085642
351,704,1.583339
352,706,0.623060
353,708,0.237843
354,710,1.308421
355,712,2.085285
356,714,1.583575
357,716,0.623336
358,718,0.237952
359,720,1.308022
360,722,2.085026
361,724,1.584198
362,726,0.623616
363,728,0.238065
364,730,1.307348
365,732,2.084815
366,734,1.584846
367,736,0.624049
368,738,0.237908
369,740,1.307036
370,742,2.084674
371,744,1.585297
372,746,0.624564
373,748,0.237615
374,750,1.306537
375,752,2.084522
376,754,1.585623
377,756,0.625233
378,758,0.237817
379,760,1.306228
380,762,2.084707
381,764,1.586016
382,766,0.625282
383,768,0.238102
384,770,1.305735
385,772,2.084386
386,774,1.586533
387,776,0.625512
388,778,0.237622
389,780,1.305144
390,782,2.084090
391,784,1.587248
392,786,0.626321
393,788,0.238236
394,790,1.304972
395,792,2.083929
396,794,1.587539
397,796,0.626542
398,798,0.237566
399,800,1.304235
400,802,2.083770
401,804,1.588231
402,806,0.627376
403,808,0.237674
404,810,1.303808
405,812,2.083479
406,814,1.588478
407,816,0.627607
408,818,0.237665
409,820,1.303135
410,822,2.083421
411,824,1.588918
412,826,0.627714
413,828,0.237276
414,830,1.302648
415,832,2.082781
416,834,1.589059
417,836,0.628158
418,838,0.237316
419,840,1.302149
420,842,2.082232
421,844,1.589655
422,846,0.628551
423,848,0.236997
424,850,1.302008
425,852,2.082964
426,854,1.590227
427,856,0.629076
428,858,0.237406
429,860,1.301049
430,862,2.082478
431,864,1.590435
432,866,0.629385
433,868,0.237470
434,870,1.300616
435,872,2.082303
436,874,1.591072
437,876,0.629558
438,878,0.237051
439,880,1.300377
440,882,2.081910
441,884,1.591533
442,886,0.629908
443,888,0.237050
444,890,1.299853
445,892,2.081924
446,894,1.592064
447,896,0.630369
448,898,0.236645
449,900,1.299090
450,902,2.081568
451,904,1.592343
452,906,0.631087
453,908,0.236982
454,910,1.298693
455,912,2.081571
456,914,1.592769
457,916,0.631273
458,918,0.237007
459,920,1.298497
460,922,2.081637
461,924,1.593331
462,926,0.631635
463,928,0.236973
464,930,1.297987
465,932,2.081022
466,934,1.593995
467,936,0.632320
468,938,0.236928
469,940,1.297695
470,942,2.080950
471,944,1.594428
472,946,0.632719
473,948,0.236860
474,950,1.297049
475,952,2.080801
476,954,1.594790
477,956,0.633100
478,958,0.236775
479,960,1.296380
480,962,2.080394
481,964,1.595087
482,966,0.633592
483,968,0.236677
484,970,1.295794
485,972,2.080323
486,974,1.595598
487,976,0.633686
488,978,0.236924
489,980,1.295488
490,982,2.079961
491,984,1.596249
492,986,0.634144
493,988,0.236576
494,990,1.295048
495,992,2.079674
496,994,1.596547
497,996,0.634551
498,998,0.413507
499,1000,1.294423
500,1002,2.079805
501,1004,1.596832
502,1006,0.635065
503,1008,0.236479
504,1010,1.293820
505,1012,2.079418
506,1014,1.597475
507,1016,0.635313
508,1018,0.236436
509,1020,1.293416
510,1022,2.079353
511,1024,1.597853
512,1026,0.635452
513,1028,0.412479
514,1030,1.292711
515,1032,2.079044
516,1034,1.598454
517,1036,0.636141
518,1038,0.236412
519,1040,1.292721
520,1042,2.079068
521,1044,1.598830
522,1046,0.636634
523,1048,0.236117
524,1050,1.292265
525,1052,2.078804
526,1054,1.599352
527,1056,0.637369
528,1058,0.411781
529,1060,1.291325
530,1062,2.078499
531,1064,1.599475
532,1066,0.637343
533,1068,0.236278
534,1070,1.291144
535,1072,2.078438
536,1074,1.599962
537,1076,0.637693
538,1078,0.411105
539,1080,1.290442
540,1082,2.078091
541,1084,1.600733
542,1086,0.638248
543,1088,0.410813
544,1090,1.289954
545,1092,2.077536
546,1094,1.600788
547,1096,0.638576
548,1098,0.235880
549,1100,1.289336
550,1102,2.077573
551,1104,1.601499
552,1106,0.639061
553,1108,0.409893
554,1110,1.288815
555,1112,2.077255
556,1114,1.601566
557,1116,0.639418
558,1118,0.410019
559,1120,1.288288
560,1122,2.076928
561,1124,1.602427
562,1126,0.639680
563,1128,0.235858
564,1130,1.288025
565,1132,2.076885
566,1134,1.602952
567,1136,0.640395
568,1138,0.409834
569,1140,1.287781
570,1142,2.076819
571,1144,1.603145
572,1146,0.640685
573,1148,0.409062
574,1150,1.287250
575,1152,2.076459
576,1154,1.603613
577,1156,0.641123
578,1158,0.235699
579,1160,1.286413
580,1162,2.076544
581,1164,1.604316
582,1166,0.641610
583,1168,0.408510
584,1170,1.285944
585,1172,2.076287
586,1174,1.604444
587,1176,0.641646
588,1178,0.408276
589,1180,1.285300
590,1182,2.075817
591,1184,1.605027
592,1186,0.641946
593,1188,0.235632
594,1190,1.284894
595,1192,2.075620
596,1194,1.605556
597,1196,0.642512
598,1198,0.407814
599,1200,1.284686
600,1202,2.075310
601,1204,1.605966
602,1206,0.643008
603,1208,0.407248
604,1210,1.283764
605,1212,2.075201
606,1214,1.606389
607,1216,0.643425
608,1218,0.235802
609,1220,1.283432
610,1222,2.075200
611,1224,1.606825
612,1226,0.643589
613,1228,0.406864
614,1230,1.282905
615,1232,2.074927
