sweep,level_mA,heat_ms,cycle,V_on,I_on,R_on,V1,I1,R1,V2,I2,R2,step_ohm,geom,V_off
sweep_20260731_134414,750,400,2,3.3652171666666666,0.7631083166666668,4.40988139320283,3.106616283333333,0.7518231333333334,4.132110526527205,0.5266698726114648,0.12016532165605094,4.382877400511201,0.2507668739839959,6.991768390734474,0.0358660155728718
sweep_20260731_134414,750,400,3,3.3982959193548385,0.7681753870967742,4.423854208865356,3.0795568146067414,0.7496195898876403,4.108159466681404,0.5258551940789474,0.11967957236842106,4.393859233221165,0.2856997665397607,7.021634867851701,0.04068849661320704
sweep_20260731_134414,750,400,4,3.3442941875,0.7587670156249999,4.407537648095166,3.111686219101123,0.7502691685393258,4.147426483163585,0.5274894517819706,0.11394542976939206,4.6293164442797545,0.48188996111616955,7.443275854414495,0.064741650120406
sweep_20260731_134414,850,400,2,3.883725580645161,0.8750739838709678,4.438168260316864,3.4723668499999993,0.8502039333333336,4.084157593091978,0.5157910288461538,0.12202578525641027,4.226901943407557,0.14274435031557964,7.018800867848936,0.020337427005437662
sweep_20260731_134414,850,400,3,3.837121533333333,0.8613060333333334,4.455003662848291,3.4355264166666664,0.84902775,4.046424179500218,0.5114216806451612,0.12209597419354837,4.188685859817523,0.14226168031730513,7.01246043089533,0.020286985105902575
sweep_20260731_134414,850,400,4,4.004875333333334,0.9046002555555553,4.427232148938274,3.4546278,0.8485829333333332,4.071055007469709,0.5585862694805196,0.1302541948051948,4.28843209476615,0.21737708729644112,6.4988607312759745,0.03344849140254804
sweep_20260731_134414,950,300,2,4.268316016666668,0.9654258666666667,4.421174285917897,3.8812486999999996,0.952437838888889,4.075067727808727,0.4958355292207792,0.11929647402597401,4.1563301285235195,0.08126240071479263,7.332540135235618,0.011082435174721452
sweep_20260731_134414,950,300,3,4.308444327586208,0.9641220862068964,4.4687746388392915,3.8639605898876406,0.9513774831460674,4.061437923788235,0.5219190382165604,0.1155233821656051,4.517864941561172,0.4564270177729366,7.60514876785773,0.06001552786212042
sweep_20260731_134414,950,300,4,4.257623733333334,0.9723904333333333,4.3785125679798105,3.836709811111111,0.9495710777777778,4.040466165092059,0.5501486050955413,0.12897627070063694,4.265502499854994,0.22503633476293583,6.70025714707382,0.03358622360653935
sweep_20260731_141513,750,400,2,3.3961033125,0.76132575,4.460775577996673,3.0864886516853933,0.7474348764044944,4.1294415729338505,0.5082633885350318,0.117207347133758,4.33644648534701,0.20700491241315966,7.19397915059473,0.028774744557891373
sweep_20260731_141513,750,400,3,3.387347750000001,0.7658462166666666,4.423012970859055,3.126359983333333,0.7535853222222222,4.1486476595830135,0.5305977672955975,0.12255077044025157,4.329615924807957,0.18096826522494336,6.832893669235435,0.026484864829631406
sweep_20260731_141513,750,400,4,3.432588121212121,0.7607426060606061,4.512154431559019,3.088118883333334,0.7513686777777778,4.1099915057234595,0.5069749267515924,0.11640867834394904,4.355129995150788,0.24513848942732874,7.2595202618263235,0.033767863520730405
sweep_20260731_141513,850,400,2,3.8312985892857148,0.873223375,4.387535536695538,3.4468555166666666,0.8514772555555555,4.0480887706363085,0.5143810522875818,0.11609137254901962,4.4308292769162,0.38274050627989187,7.439475039726094,0.05144724651082147
sweep_20260731_141513,850,400,3,3.8156769821428576,0.8666229821428572,4.40292614062463,3.434456444444444,0.8492902944444445,4.043913449748136,0.5437591176470588,0.12514423311546843,4.345059329624415,0.3011458798762785,6.813326019059185,0.044199540581776234
sweep_20260731_141513,850,400,4,3.8673573035714286,0.8671734642857142,4.4597274511356835,3.432950966292135,0.8496143651685394,4.040599014131706,0.534409421875,0.124540875,4.291036351519129,0.2504373373874236,6.852487744177604,0.03654692233491616
sweep_20260731_141513,950,300,3,4.300820603448276,0.9742736379310345,4.414386714374711,3.8633325000000003,0.9499747727272727,4.066773782748776,0.5238303940397351,0.1233481854304636,4.246762059868645,0.1799882771198682,7.054472295415564,0.02551406676256075
sweep_20260731_141513,950,300,4,4.2396425,0.9779897500000001,4.33505821507843,3.8869255944444445,0.9498433055555555,4.09217559539572,0.5494704545454545,0.1277204935064935,4.302132253486153,0.20995665809043285,6.776791826154092,0.03098171870650277
sweep_20260731_144243,750,400,2,3.3777256499999995,0.7740047166666667,4.363960034438205,3.096765714285714,0.7485681758241758,4.136918739400277,0.5263188942307693,0.12227215384615384,4.30448697986459,0.1675682404643135,6.842593349217529,0.024488995898532435
sweep_20260731_144243,750,400,3,3.402679109375,0.7604932343749999,4.474305563245992,3.124652550561797,0.7500249606741572,4.166064750369393,0.5178400443037975,0.11583228797468355,4.470601879304821,0.3045371289354284,7.299882476502474,0.04171808654669439
sweep_20260731_144243,750,400,4,3.4204288333333333,0.7657176166666664,4.466958522154938,3.084139149999999,0.7495508777777778,4.114649507373888,0.5197085551948051,0.12115434090909091,4.289640398314513,0.17499089094062548,6.919802296169347,0.02528842349115908
sweep_20260731_144243,850,400,2,3.8004745322580646,0.8687444677419355,4.374674801827933,3.434587894444444,0.8485755222222221,4.047474626006247,0.5436743493589743,0.12910797756410256,4.211005079752241,0.1635304537459943,6.567009271386215,0.024901815573571663
sweep_20260731_144243,850,400,3,3.941376661111111,0.9061016777777778,4.349817197974262,3.438844829629629,0.8487623833333333,4.051599007161815,0.5231503993506492,0.1250980064935065,4.181924348872854,0.13032534171103904,6.8155464482362635,0.019121774416894343
