level_mA,heat_ms,sweep,run_type,cycle,bootstrap,i_mA,cc_pct,u_V,R_ohm,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,cool_s,i_low_mA,seeded
650,200,sweep_20260731_155129,map,5,0,649.4546354166667,99.9,2.8927892968749997,4.454182230940719,2.873427,650.7965,4.415246547884016,1.8700162346055,4.7190641771864845,784.418349,784.618349,2026-07-31T20:04:31.846792+00:00,793.1435985674871,-3936.7458437876476,1.8928217553191489,2.149105,0.2562832446808512,185.5550202014516,25.123677129350572,0,0,1,192,30.0,0,1
650,200,sweep_20260731_155129,map,6,0,649.7464973821988,100.0,2.871651115183246,4.419648473293826,2.8660725,647.542,4.4260796983052835,1.8559023187950001,4.721608952064116,815.585824,815.785824,2026-07-31T20:05:02.991850+00:00,787.5386884977738,-3922.0126922473687,1.8959427234042552,2.155656,0.25971327659574484,185.86097151168596,25.459926244974458,0,0,1,191,30.0,0,1
750,200,sweep_20260731_155129,map,1,1,750.9483282051284,100.1,3.331050466666666,4.435791840203364,3.280091,748.542,4.381973222611423,2.4552858773220003,4.754819560362055,869.961058,870.161058,2026-07-31T20:05:57.792879+00:00,1099.409103284091,-4067.714559946917,1.8494983015873014,2.209777,0.36027869841269844,181.30798304128638,35.318445053929075,0,0,1,195,30.0,0,1
750,200,sweep_20260731_155129,map,2,0,750.9624712041884,100.1,3.3056164869109947,4.401839790489596,3.238496,754.9399999999999,4.289739581953533,2.4448701702399998,4.723144236572118,901.131093,901.331093,2026-07-31T20:06:28.940547+00:00,1176.4637456929527,-3903.278601145138,1.9041613351063833,2.291983,0.3878216648936168,186.66664941354372,38.01850684654779,0,0,1,191,30.0,0,1
750,200,sweep_20260731_155129,map,3,0,750.9387164948454,100.1,3.3041967835051542,4.400088463847149,3.279647,748.605,4.3810113477735255,2.455160142435,4.728989791196441,932.296976,932.496976,2026-07-31T20:07:00.084066+00:00,1157.5496154267298,-3853.6892404089463,1.920511407407407,2.302593,0.3820815925925929,188.26946171617394,37.455802392849925,0,0,1,194,30.0,0,1
750,200,sweep_20260731_155129,map,4,0,750.5951734693876,100.1,3.321871719387755,4.425650253029817,3.249617,754.3969999999999,4.307568826493212,2.4515013159490002,4.706799398948159,963.461052,963.661052,2026-07-31T20:07:31.225779+00:00,1157.1245319062373,-3868.1959832200364,1.9134065372340427,2.293086,0.37967946276595743,187.57296489874116,37.22031944404332,0,0,1,196,30.0,0,1
750,200,sweep_20260731_155129,map,5,0,750.4320432432432,100.1,3.29761638918919,4.394290487566918,3.281891,751.716,4.365865566251084,2.467049974956,4.731084414786529,994.628118,994.828118,2026-07-31T20:08:02.370480+00:00,1129.3125376499215,-3822.6015960285426,1.9282758465608463,2.299762,0.3714861534391536,189.03061667433136,36.41712195681057,0,0,1,185,30.0,0,1
750,200,sweep_20260731_155129,map,6,0,750.8206804123713,100.1,3.3065030515463922,4.403851862112229,3.280535,752.6664999999999,4.358550566552385,2.4691487965774996,4.739215203770656,1025.793479,1025.993479,2026-07-31T20:08:33.513477+00:00,1132.2532689365157,-3861.567141199745,1.9154160687830688,2.282667,0.3672509312169312,187.7699610850578,36.0019393106931,0,0,1,194,30.0,0,1
850,200,sweep_20260731_155129,map,1,1,850.8842487046633,100.1,3.7511307409326426,4.408508850226275,3.704811,847.4789999999999,4.3715667290870925,3.1397495214689997,4.869301814510142,1080.601231,1080.801231,2026-07-31T20:09:28.437563+00:00,1533.1695948569036,-4059.207332787701,1.8529760370370374,2.352941,0.49996496296296256,181.64890857736373,49.01201528453924,0,0,1,193,30.0,0,1
850,200,sweep_20260731_155129,map,2,0,850.4253489583334,100.1,3.7402603020833336,4.398105379460635,3.7114575,858.6155,4.322607150697839,3.1867149370912498,4.701188743786971,1111.771637,1111.971637,2026-07-31T20:09:59.585982+00:00,1649.164250427285,-3871.78438454772,1.9120097074468083,2.458632,0.5466222925531918,187.43603241756068,53.58587529556867,0,0,1,192,30.0,0,1
