host_timestamp_s,monotonic_s,firmware_timestamp_us,voltage_V,raw_code
1777061162.030583,822654.046000,5956000,0.17033300,73157591
1777061162.031590,822654.046000,5959000,0.17033300,73157591
1777061162.035199,822654.046000,5962000,0.17033300,73157591
1777061162.038343,822654.046000,5965000,0.17033300,73157591
1777061162.041092,822654.046000,5968000,0.17033300,73157591
1777061162.044304,822654.046000,5971000,0.17033300,73157591
1777061162.046551,822654.062000,5974000,0.17033300,73157591
1777061162.050056,822654.062000,5977000,0.17033300,73157591
1777061162.053059,822654.062000,5980000,0.17033300,73157591
1777061162.055663,822654.062000,5983000,0.17033300,73157591
1777061162.058697,822654.062000,5986000,0.17033300,73157591
1777061162.062637,822654.078000,5989000,0.17033300,73157591
1777061162.064789,822654.078000,5992000,0.17033300,73157591
1777061162.067788,822654.078000,5995000,0.17033300,73157591
1777061162.071790,822654.078000,5998000,0.17033300,73157591
1777061162.074790,822654.078000,6001000,0.17033300,73157591
1777061162.077788,822654.093000,6004000,0.17033300,73157591
1777061162.080793,822654.093000,6007000,0.17033300,73157591
1777061162.083163,822654.093000,6010000,0.17033300,73157591
1777061162.086293,822654.093000,6013000,0.17033300,73157591
1777061162.089297,822654.093000,6016000,0.17033300,73157591
1777061162.092300,822654.093000,6019000,0.17033300,73157591
1777061162.095297,822654.109000,6022000,0.17033300,73157591
1777061162.099036,822654.109000,6025000,0.17033300,73157591
1777061162.101325,822654.109000,6028000,0.17033300,73157591
1777061162.104324,822654.109000,6031000,0.17033300,73157591
1777061162.107323,822654.109000,6034000,0.17033300,73157591
1777061162.110324,822654.125000,6037000,0.17033300,73157591
1777061162.114323,822654.125000,6040000,0.17033300,73157591
1777061162.117328,822654.125000,6043000,0.17033300,73157591
1777061162.120324,822654.125000,6046000,0.17033300,73157591
1777061162.123325,822654.125000,6049000,0.17033300,73157591
1777061162.126324,822654.140000,6052000,0.17033300,73157591
1777061162.129324,822654.140000,6055000,0.17033300,73157591
1777061162.132324,822654.140000,6058000,0.17033300,73157591
1777061162.135324,822654.140000,6061000,0.17033300,73157591
1777061162.138324,822654.140000,6064000,0.17033300,73157591
1777061162.141330,822654.156000,6067000,0.17033300,73157591
1777061162.144330,822654.156000,6070000,0.17033300,73157591
1777061162.147330,822654.156000,6073000,0.17033300,73157591
1777061162.150636,822654.156000,6076000,0.17033300,73157591
1777061162.153284,822654.156000,6079000,0.17033300,73157591
1777061162.156446,822654.171000,6082000,0.17033300,73157591
1777061162.159621,822654.171000,6085000,0.17033300,73157591
1777061162.162696,822654.171000,6088000,0.17033300,73157591
1777061162.165291,822654.171000,6091000,0.17033300,73157591
1777061162.168295,822654.171000,6094000,0.17033300,73157591
1777061162.171295,822654.187000,6097000,0.17033300,73157591
1777061162.174295,822654.187000,6100000,0.17033300,73157591
1777061162.177295,822654.187000,6103000,0.17033300,73157591
1777061162.180297,822654.187000,6106000,0.17033300,73157591
1777061162.183345,822654.187000,6109000,0.17033300,73157591
1777061162.186346,822654.187000,6112000,0.17033300,73157591
1777061162.189346,822654.203000,6115000,0.17033300,73157591
1777061162.193347,822654.203000,6118000,0.17033300,73157591
1777061162.195958,822654.203000,6121000,0.17033300,73157591
1777061162.198956,822654.203000,6124000,0.17033300,73157591
1777061162.201956,822654.203000,6127000,0.17033300,73157591
1777061162.204956,822654.218000,6130000,0.17033300,73157591
1777061162.207956,822654.218000,6133000,0.17033300,73157591
1777061162.210958,822654.218000,6136000,0.17033300,73157591
1777061162.213957,822654.218000,6139000,0.17033300,73157591
1777061162.216957,822654.218000,6142000,0.17033300,73157591
1777061162.219959,822654.234000,6145000,0.17033300,73157591
1777061162.222957,822654.234000,6148000,0.17033300,73157591
1777061162.225957,822654.234000,6151000,0.17033300,73157591
1777061162.228956,822654.234000,6154000,0.17033300,73157591
1777061162.231956,822654.234000,6157000,0.17033300,73157591
1777061162.234956,822654.250000,6160000,0.17033300,73157591
1777061162.237960,822654.250000,6163000,0.17033300,73157591
1777061162.240960,822654.250000,6166000,0.17033300,73157591
1777061162.243960,822654.250000,6169000,0.17033300,73157591
1777061162.247962,822654.250000,6172000,0.17033300,73157591
1777061162.250960,822654.265000,6175000,0.17033300,73157591
1777061162.253981,822654.265000,6178000,0.17033300,73157591
1777061162.256490,822654.265000,6181000,0.17033300,73157591
1777061162.259494,822654.265000,6184000,0.17033300,73157591
1777061162.262495,822654.265000,6187000,0.17033300,73157591
1777061162.265494,822654.281000,6190000,0.17033300,73157591
1777061162.268495,822654.281000,6193000,0.17033300,73157591
1777061162.271494,822654.281000,6196000,0.17033300,73157591
1777061162.275078,822654.281000,6199000,0.17033300,73157591
1777061162.278079,822654.281000,6202000,0.17033300,73157591
1777061162.281079,822654.296000,6205000,0.17033300,73157591
1777061162.284079,822654.296000,6208000,0.17033300,73157591
1777061162.287078,822654.296000,6211000,0.17033300,73157591
1777061162.290080,822654.296000,6214000,0.17033300,73157591
1777061162.293078,822654.296000,6217000,0.17033300,73157591
1777061162.296079,822654.296000,6220000,0.17033300,73157591
1777061162.299425,822654.312000,6223000,0.17033300,73157591
1777061162.302425,822654.312000,6226000,0.17033300,73157591
1777061162.305029,822654.312000,6229000,0.17033300,73157591
1777061162.308028,822654.312000,6232000,0.17033300,73157591
1777061162.311028,822654.312000,6235000,0.17033300,73157591
1777061162.314717,822654.328000,6238000,0.17033300,73157591
1777061162.316968,822654.328000,6241000,0.17033300,73157591
1777061162.319969,822654.328000,6244000,0.17033300,73157591
1777061162.322968,822654.328000,6247000,0.17033300,73157591
1777061162.325968,822654.328000,6250000,0.17033300,73157591
1777061162.329967,822654.343000,6253000,0.17033300,73157591
1777061162.332769,822654.343000,6256000,0.17033300,73157591
1777061162.335770,822654.343000,6259000,0.17033300,73157591
1777061162.338769,822654.343000,6262000,0.17033300,73157591
1777061162.341773,822654.343000,6265000,0.17033300,73157591
1777061162.344773,822654.359000,6268000,0.17033300,73157591
1777061162.348186,822654.359000,6271000,0.17033300,73157591
1777061162.351272,822654.359000,6274000,0.17033300,73157591
1777061162.354271,822654.359000,6277000,0.17033300,73157591
1777061162.357310,822654.359000,6280000,0.17033300,73157591
1777061162.360307,822654.375000,6283000,0.17033300,73157591
1777061162.363307,822654.375000,6286000,0.17033300,73157591
1777061162.365908,822654.375000,6289000,0.17033300,73157591
1777061162.369456,822654.375000,6292000,0.17033300,73157591
1777061162.371608,822654.375000,6295000,0.17033300,73157591
1777061162.374609,822654.390000,6298000,0.17033300,73157591
1777061162.377609,822654.390000,6301000,0.17033300,73157591
1777061162.381113,822654.390000,6304000,0.17033300,73157591
1777061162.384118,822654.390000,6307000,0.17033300,73157591
1777061162.387686,822654.390000,6310000,0.17033300,73157591
1777061162.389888,822654.406000,6313000,0.17033300,73157591
1777061162.392888,822654.406000,6316000,0.17033300,73157591
1777061162.395888,822654.406000,6319000,0.17033300,73157591
1777061162.398888,822654.406000,6322000,0.17033300,73157591
1777061162.402889,822654.406000,6325000,0.17033300,73157591
1777061162.405897,822654.421000,6328000,0.17033300,73157591
1777061162.408049,822654.421000,6331000,0.17033300,73157591
1777061162.411649,822654.421000,6334000,0.17033300,73157591
1777061162.414654,822654.421000,6337000,0.17033300,73157591
1777061162.417654,822654.421000,6340000,0.17033300,73157591
1777061162.420653,822654.421000,6343000,0.17033300,73157591
1777061162.424126,822654.437000,6346000,0.17033300,73157591
1777061162.426370,822654.437000,6349000,0.17033300,73157591
1777061162.429369,822654.437000,6352000,0.17033300,73157591
1777061162.432369,822654.437000,6355000,0.17033300,73157591
1777061162.435370,822654.437000,6358000,0.17033300,73157591
1777061162.438373,822654.453000,6361000,0.17033300,73157591
1777061162.442137,822654.453000,6364000,0.17033300,73157591
1777061162.445312,822654.453000,6367000,0.17033300,73157591
1777061162.448312,822654.453000,6370000,0.17033300,73157591
1777061162.451312,822654.453000,6373000,0.17033300,73157591
1777061162.454420,822654.468000,6376000,0.17033300,73157591
1777061162.456926,822654.468000,6379000,0.17033300,73157591
1777061162.459931,822654.468000,6382000,0.17033300,73157591
1777061162.462932,822654.468000,6385000,0.17033300,73157591
1777061162.465933,822654.468000,6388000,0.17033300,73157591
1777061162.468933,822654.484000,6391000,0.17033300,73157591
1777061162.471931,822654.484000,6394000,0.17033300,73157591
1777061162.474932,822654.484000,6397000,0.17033300,73157591
1777061162.477931,822654.484000,6400000,0.17033300,73157591
1777061162.480932,822654.484000,6403000,0.17033300,73157591
1777061162.483931,822654.500000,6406000,0.17033300,73157591
1777061162.487931,822654.500000,6409000,0.17033300,73157591
1777061162.490523,822654.500000,6412000,0.17033300,73157591
1777061162.493526,822654.500000,6415000,0.17033300,73157591
1777061162.496527,822654.500000,6418000,0.17033300,73157591
1777061162.499527,822654.515000,6421000,0.17033300,73157591
1777061162.502527,822654.515000,6424000,0.17033300,73157591
1777061162.505527,822654.515000,6427000,0.17033300,73157591
1777061162.508531,822654.515000,6430000,0.17033300,73157591
1777061162.511532,822654.515000,6433000,0.17033300,73157591
1777061162.514531,822654.515000,6436000,0.17033300,73157591
1777061162.517531,822654.531000,6439000,0.17033300,73157591
1777061162.521037,822654.531000,6442000,0.17033300,73157591
1777061162.523603,822654.531000,6445000,0.17033300,73157591
1777061162.526602,822654.531000,6448000,0.17033300,73157591
1777061162.530110,822654.531000,6451000,0.17033300,73157591
1777061162.533439,822654.546000,6454000,0.17033300,73157591
1777061162.535690,822654.546000,6457000,0.17033300,73157591
1777061162.538691,822654.546000,6460000,0.17033300,73157591
1777061162.541691,822654.546000,6463000,0.17033300,73157591
1777061162.545303,822654.546000,6466000,0.17033300,73157591
1777061162.548693,822654.562000,6469000,0.17033300,73157591
1777061162.551671,822654.562000,6472000,0.17033300,73157591
1777061162.554671,822654.562000,6475000,0.17033300,73157591
1777061162.557692,822654.562000,6478000,0.17033300,73157591
1777061162.560692,822654.562000,6481000,0.17033300,73157591
1777061162.563692,822654.578000,6484000,0.17033300,73157591
1777061162.566696,822654.578000,6487000,0.17033300,73157591
1777061162.569698,822654.578000,6490000,0.17033300,73157591
1777061162.572614,822654.578000,6493000,0.17033300,73157591
1777061162.575614,822654.578000,6496000,0.17033300,73157591
1777061162.578614,822654.593000,6499000,0.17033300,73157591
1777061162.581118,822654.593000,6502000,0.17033300,73157591
1777061162.584683,822654.593000,6505000,0.17033300,73157591
1777061162.587689,822654.593000,6508000,0.17033300,73157591
1777061162.590688,822654.593000,6511000,0.17033300,73157591
1777061162.594265,822654.609000,6514000,0.17033300,73157591
1777061162.596467,822654.609000,6517000,0.17033300,73157591
1777061162.600044,822654.609000,6520000,0.17033300,73157591
1777061162.603049,822654.609000,6523000,0.17033300,73157591
1777061162.606049,822654.609000,6526000,0.17033300,73157591
1777061162.609049,822654.625000,6529000,0.17033300,73157591
1777061162.612049,822654.625000,6532000,0.17033300,73157591
1777061162.615049,822654.625000,6535000,0.17033300,73157591
1777061162.618049,822654.625000,6538000,0.17033300,73157591
1777061162.621049,822654.625000,6541000,0.17033300,73157591
1777061162.624049,822654.625000,6544000,0.17033300,73157591
1777061162.627049,822654.640000,6547000,0.17033300,73157591
1777061162.630617,822654.640000,6550000,0.17033300,73157591
1777061162.633622,822654.640000,6553000,0.17033300,73157591
1777061162.636622,822654.640000,6556000,0.17033300,73157591
1777061162.639627,822654.640000,6559000,0.17033300,73157591
1777061162.642626,822654.656000,6562000,0.17033300,73157591
1777061162.645627,822654.656000,6565000,0.17033300,73157591
1777061162.648627,822654.656000,6568000,0.17033300,73157591
1777061162.651627,822654.656000,6571000,0.17033300,73157591
1777061162.654909,822654.656000,6574000,0.17033300,73157591
1777061162.657415,822654.671000,6577000,0.17033300,73157591
1777061162.660420,822654.671000,6580000,0.17033300,73157591
1777061162.663421,822654.671000,6583000,0.17033300,73157591
1777061162.666420,822654.671000,6586000,0.17033300,73157591
1777061162.669420,822654.671000,6589000,0.17033300,73157591
1777061162.672420,822654.687000,6592000,0.17033300,73157591
1777061162.675421,822654.687000,6595000,0.17033300,73157591
1777061162.678423,822654.687000,6598000,0.17033300,73157591
1777061162.681422,822654.687000,6601000,0.17033300,73157591
1777061162.685420,822654.687000,6604000,0.17033300,73157591
1777061162.688420,822654.703000,6607000,0.17033300,73157591
1777061162.691419,822654.703000,6610000,0.17033300,73157591
1777061162.694421,822654.703000,6613000,0.17033300,73157591
1777061162.697419,822654.703000,6616000,0.17033300,73157591
1777061162.700420,822654.703000,6619000,0.17033300,73157591
1777061162.703421,822654.718000,6622000,0.17033300,73157591
1777061162.706420,822654.718000,6625000,0.17033300,73157591
1777061162.709419,822654.718000,6628000,0.17033300,73157591
1777061162.711995,822654.718000,6631000,0.17033300,73157591
1777061162.714994,822654.718000,6634000,0.17033300,73157591
1777061162.717994,822654.718000,6637000,0.17033300,73157591
1777061162.720995,822654.734000,6640000,0.17033300,73157591
1777061162.723995,822654.734000,6643000,0.17033300,73157591
1777061162.726995,822654.734000,6646000,0.17033300,73157591
1777061162.729995,822654.734000,6649000,0.17033300,73157591
1777061162.733994,822654.750000,6652000,0.17033300,73157591
1777061162.736994,822654.750000,6655000,0.17033300,73157591
1777061162.739994,822654.750000,6658000,0.17033300,73157591
1777061162.742582,822654.750000,6661000,0.17033300,73157591
1777061162.745581,822654.750000,6664000,0.17033300,73157591
1777061162.748581,822654.750000,6667000,0.17033300,73157591
1777061162.751582,822654.765000,6670000,0.17033300,73157591
1777061162.754581,822654.765000,6673000,0.17033300,73157591
1777061162.758096,822654.765000,6676000,0.17033300,73157591
1777061162.761093,822654.765000,6679000,0.17033300,73157591
1777061162.764094,822654.765000,6682000,0.17033300,73157591
1777061162.767098,822654.781000,6685000,0.17033300,73157591
1777061162.770098,822654.781000,6688000,0.17033300,73157591
1777061162.773098,822654.781000,6691000,0.17033300,73157591
1777061162.776098,822654.781000,6694000,0.17033300,73157591
1777061162.779099,822654.781000,6697000,0.17033300,73157591
1777061162.781605,822654.796000,6700000,0.17033300,73157591
