host_timestamp_s,monotonic_s,primary,secondary,status
1777060088.953041,821580.968000,1.51472000e-06,0.89537500,0
1777060088.977849,821580.984000,1.51456000e-06,0.89480900,0
1777060088.986663,821581.000000,1.51465000e-06,0.89570200,0
1777060088.996916,821581.000000,1.51465000e-06,0.89570200,0
1777060089.007019,821581.015000,1.51457000e-06,0.89522800,0
1777060089.016543,821581.031000,1.51462000e-06,0.89576500,0
1777060089.027610,821581.031000,1.51462000e-06,0.89576500,0
1777060089.036628,821581.046000,1.51442000e-06,0.89495200,0
1777060089.046664,821581.062000,1.51457000e-06,0.89484300,0
1777060089.058959,821581.062000,1.51456000e-06,0.89464400,0
1777060089.073559,821581.078000,1.51456000e-06,0.89464400,0
1777060089.075574,821581.078000,1.51451000e-06,0.89497700,0
1777060089.089422,821581.093000,1.51451000e-06,0.89497700,0
1777060089.096279,821581.109000,1.51451000e-06,0.89534100,0
1777060089.104315,821581.109000,1.51461000e-06,0.89464200,0
1777060089.120006,821581.125000,1.51461000e-06,0.89464200,0
1777060089.125049,821581.140000,1.51449000e-06,0.89337700,0
1777060089.135668,821581.140000,1.51449000e-06,0.89337700,0
1777060089.145687,821581.156000,1.51438000e-06,0.89444900,0
1777060089.154255,821581.156000,1.51446000e-06,0.89266500,0
1777060089.165944,821581.171000,1.51446000e-06,0.89266500,0
1777060089.174869,821581.187000,1.51457000e-06,0.89468000,0
1777060089.183949,821581.187000,1.51451000e-06,0.89388000,0
1777060089.196015,821581.203000,1.51451000e-06,0.89388000,0
1777060089.203774,821581.218000,1.51466000e-06,0.89406900,0
1777060089.214149,821581.218000,1.51461000e-06,0.89030300,0
1777060089.227097,821581.234000,1.51485000e-06,0.89283600,0
1777060089.242625,821581.250000,1.51480000e-06,0.89362300,0
1777060089.257691,821581.265000,1.51437000e-06,0.89333900,0
1777060089.272298,821581.281000,1.51473000e-06,0.89390100,0
1777060089.288341,821581.296000,1.51487000e-06,0.89262500,0
1777060089.302906,821581.312000,1.51496000e-06,0.89217900,0
1777060089.318666,821581.328000,1.51496000e-06,0.89217900,0
1777060089.319666,821581.328000,1.51442000e-06,0.89288000,0
1777060089.334707,821581.343000,1.51462000e-06,0.89378400,0
1777060089.350229,821581.359000,1.51452000e-06,0.89420300,0
1777060089.364764,821581.375000,1.51463000e-06,0.89457900,0
1777060089.380640,821581.390000,1.51444000e-06,0.89348400,0
1777060089.395789,821581.406000,1.51444000e-06,0.89348400,0
1777060089.396993,821581.406000,1.51461000e-06,0.89346900,0
1777060089.411047,821581.421000,1.51461000e-06,0.89346900,0
1777060089.412049,821581.421000,1.51464000e-06,0.89235100,0
1777060089.427571,821581.437000,1.51464000e-06,0.89235100,0
1777060089.428572,821581.437000,1.51481000e-06,0.89293700,0
1777060089.443098,821581.453000,1.51481000e-06,0.89293700,0
1777060089.445097,821581.453000,1.51451000e-06,0.89304900,0
1777060089.459626,821581.468000,1.51440000e-06,0.89331900,0
1777060089.475152,821581.484000,1.51454000e-06,0.89349100,0
1777060089.489258,821581.500000,1.51456000e-06,0.89313200,0
1777060089.504787,821581.515000,1.51469000e-06,0.89416200,0
1777060089.520660,821581.531000,1.51471000e-06,0.89224100,0
1777060089.535342,821581.546000,1.51488000e-06,0.89292300,0
1777060089.550394,821581.562000,1.51503000e-06,0.89419200,0
1777060089.565455,821581.578000,1.51436000e-06,0.89406800,0
1777060089.580570,821581.593000,1.51492000e-06,0.89404300,0
1777060089.596101,821581.609000,1.51477000e-06,0.89484900,0
1777060089.611310,821581.625000,1.51471000e-06,0.89624400,0
1777060089.626834,821581.640000,1.51487000e-06,0.89442800,0
1777060089.641387,821581.656000,1.51445000e-06,0.89301100,0
1777060089.656922,821581.671000,1.51465000e-06,0.89461700,0
1777060089.671513,821581.687000,1.51478000e-06,0.89444200,0
1777060089.686547,821581.687000,1.51467000e-06,0.89545000,0
1777060089.702254,821581.703000,1.51501000e-06,0.89484400,0
1777060089.718017,821581.734000,1.51467000e-06,0.89594300,0
1777060089.733092,821581.734000,1.51480000e-06,0.89449500,0
1777060089.747784,821581.750000,1.51476000e-06,0.89533500,0
1777060089.762698,821581.765000,1.51461000e-06,0.89468500,0
1777060089.778770,821581.781000,1.51458000e-06,0.89536100,0
1777060089.793297,821581.796000,1.51442000e-06,0.89617900,0
1777060089.807822,821581.812000,1.51454000e-06,0.89621800,0
1777060089.824392,821581.828000,1.51470000e-06,0.89558300,0
1777060089.839420,821581.843000,1.51456000e-06,0.89451500,0
1777060089.853962,821581.859000,1.51469000e-06,0.89628700,0
1777060089.869566,821581.875000,1.51459000e-06,0.89458500,0
1777060089.884851,821581.890000,1.51478000e-06,0.89662400,0
1777060089.899884,821581.906000,1.51462000e-06,0.89619700,0
1777060089.915337,821581.921000,1.51452000e-06,0.89498000,0
1777060089.930373,821581.937000,1.51469000e-06,0.89452000,0
1777060089.945378,821581.953000,1.51460000e-06,0.89331800,0
1777060089.959899,821581.968000,1.51453000e-06,0.89442700,0
1777060089.975601,821581.984000,1.51438000e-06,0.89333300,0
1777060089.990327,821582.000000,1.51438000e-06,0.89333300,0
1777060089.992326,821582.000000,1.51464000e-06,0.89539500,0
1777060090.006857,821582.015000,1.51443000e-06,0.89526500,0
1777060090.022386,821582.031000,1.51434000e-06,0.89537800,0
1777060090.037463,821582.046000,1.51471000e-06,0.89374700,0
1777060090.052549,821582.062000,1.51447000e-06,0.89492500,0
1777060090.067268,821582.078000,1.51436000e-06,0.89408600,0
1777060090.082307,821582.093000,1.51454000e-06,0.89540900,0
1777060090.098341,821582.109000,1.51463000e-06,0.89603500,0
1777060090.112936,821582.125000,1.51467000e-06,0.89444600,0
1777060090.128002,821582.140000,1.51442000e-06,0.89379800,0
1777060090.143046,821582.156000,1.51443000e-06,0.89489100,0
1777060090.157612,821582.171000,1.51441000e-06,0.89346100,0
1777060090.173651,821582.187000,1.51441000e-06,0.89346100,0
1777060090.174651,821582.187000,1.51450000e-06,0.89518400,0
1777060090.189696,821582.203000,1.51450000e-06,0.89518400,0
1777060090.190696,821582.203000,1.51475000e-06,0.89539900,0
1777060090.205220,821582.218000,1.51475000e-06,0.89539900,0
1777060090.206221,821582.218000,1.51447000e-06,0.89439100,0
1777060090.221743,821582.234000,1.51448000e-06,0.89444400,0
1777060090.237267,821582.250000,1.51448000e-06,0.89444400,0
1777060090.237267,821582.250000,1.51454000e-06,0.89352600,0
1777060090.252785,821582.265000,1.51454000e-06,0.89352600,0
1777060090.253789,821582.265000,1.51474000e-06,0.89311900,0
1777060090.268327,821582.281000,1.51469000e-06,0.89380600,0
1777060090.283607,821582.296000,1.51433000e-06,0.89523100,0
1777060090.298781,821582.312000,1.51447000e-06,0.89437400,0
1777060090.314641,821582.328000,1.51435000e-06,0.89412000,0
1777060090.328658,821582.343000,1.51453000e-06,0.89277200,0
1777060090.345190,821582.359000,1.51446000e-06,0.89304200,0
1777060090.359715,821582.375000,1.51444000e-06,0.89405000,0
1777060090.375264,821582.390000,1.51479000e-06,0.89305000,0
1777060090.389278,821582.390000,1.51471000e-06,0.89367400,0
1777060090.405804,821582.421000,1.51450000e-06,0.89354000,0
1777060090.420328,821582.421000,1.51450000e-06,0.89354000,0
1777060090.421328,821582.437000,1.51446000e-06,0.89423700,0
1777060090.436854,821582.453000,1.51433000e-06,0.89364200,0
1777060090.451374,821582.453000,1.51471000e-06,0.89304200,0
1777060090.466433,821582.468000,1.51471000e-06,0.89307800,0
1777060090.482414,821582.484000,1.51449000e-06,0.89295300,0
1777060090.497540,821582.500000,1.51435000e-06,0.89389100,0
1777060090.512634,821582.515000,1.51444000e-06,0.89312200,0
1777060090.527634,821582.531000,1.51463000e-06,0.89264100,0
1777060090.542636,821582.546000,1.51462000e-06,0.89410200,0
1777060090.557638,821582.562000,1.51463000e-06,0.89124900,0
1777060090.572681,821582.578000,1.51462000e-06,0.89280600,0
1777060090.588190,821582.593000,1.51471000e-06,0.89107700,0
1777060090.603192,821582.609000,1.51503000e-06,0.89212700,0
1777060090.618317,821582.625000,1.51499000e-06,0.89511600,0
1777060090.634208,821582.640000,1.51504000e-06,0.89245700,0
1777060090.649205,821582.656000,1.51429000e-06,0.89288200,0
1777060090.663210,821582.671000,1.51486000e-06,0.89509600,0
1777060090.679273,821582.687000,1.51497000e-06,0.89261800,0
1777060090.693934,821582.703000,1.51486000e-06,0.89364100,0
1777060090.709956,821582.718000,1.51498000e-06,0.89665300,0
1777060090.724961,821582.734000,1.51474000e-06,0.89340500,0
1777060090.739471,821582.750000,1.51465000e-06,0.89318100,0
1777060090.754744,821582.765000,1.51461000e-06,0.89451500,0
1777060090.769811,821582.781000,1.51461000e-06,0.89446600,0
1777060090.785807,821582.796000,1.51456000e-06,0.89669700,0
1777060090.800966,821582.812000,1.51492000e-06,0.89517700,0
1777060090.815481,821582.828000,1.51492000e-06,0.89517700,0
1777060090.816483,821582.828000,1.51486000e-06,0.89510000,0
1777060090.831520,821582.843000,1.51486000e-06,0.89510000,0
1777060090.832518,821582.843000,1.51475000e-06,0.89258200,0
1777060090.847720,821582.859000,1.51487000e-06,0.89340700,0
1777060090.862723,821582.875000,1.51477000e-06,0.89364600,0
1777060090.877469,821582.890000,1.51477000e-06,0.89364600,0
1777060090.878475,821582.890000,1.51475000e-06,0.89312300,0
1777060090.893674,821582.906000,1.51465000e-06,0.89447700,0
1777060090.909573,821582.921000,1.51469000e-06,0.89318200,0
1777060090.924031,821582.937000,1.51493000e-06,0.89473200,0
1777060090.939031,821582.953000,1.51475000e-06,0.89407700,0
1777060090.954546,821582.968000,1.51473000e-06,0.89327600,0
1777060090.970054,821582.984000,1.51475000e-06,0.89296000,0
1777060090.985058,821583.000000,1.51481000e-06,0.89352300,0
1777060091.000177,821583.015000,1.51469000e-06,0.89404400,0
1777060091.015177,821583.031000,1.51469000e-06,0.89404400,0
1777060091.016178,821583.031000,1.51474000e-06,0.89363600,0
1777060091.030686,821583.046000,1.51474000e-06,0.89363600,0
1777060091.031685,821583.046000,1.51487000e-06,0.89275700,0
1777060091.046685,821583.062000,1.51463000e-06,0.89685900,0
1777060091.062194,821583.078000,1.51450000e-06,0.89422100,0
1777060091.077702,821583.093000,1.51450000e-06,0.89422100,0
1777060091.079048,821583.093000,1.51486000e-06,0.89430000,0
1777060091.093634,821583.109000,1.51454000e-06,0.89336200,0
1777060091.109115,821583.125000,1.51452000e-06,0.89445700,0
1777060091.124338,821583.140000,1.51476000e-06,0.89577100,0
1777060091.139673,821583.140000,1.51476000e-06,0.89577100,0
1777060091.140674,821583.156000,1.51476000e-06,0.89396000,0
1777060091.155678,821583.171000,1.51476000e-06,0.89396000,0
1777060091.156678,821583.171000,1.51479000e-06,0.89492400,0
1777060091.171698,821583.187000,1.51479000e-06,0.89492400,0
1777060091.172697,821583.187000,1.51422000e-06,0.89530800,0
1777060091.187697,821583.203000,1.51450000e-06,0.89647400,0
1777060091.202699,821583.218000,1.51450000e-06,0.89647400,0
1777060091.203697,821583.218000,1.51490000e-06,0.89437200,0
1777060091.218698,821583.234000,1.51490000e-06,0.89437200,0
1777060091.219698,821583.234000,1.51479000e-06,0.89457800,0
1777060091.234697,821583.250000,1.51482000e-06,0.89511800,0
1777060091.249207,821583.250000,1.51482000e-06,0.89511800,0
1777060091.250207,821583.265000,1.51462000e-06,0.89496400,0
