host_timestamp_s,monotonic_s,fields_json
1784158136.270668,68015.421000,"{""t_ms"":790171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":818894606,""m4_us"":818249877,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3613,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158137.306908,68016.453000,"{""t_ms"":791171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":819931040,""m4_us"":819286353,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3098,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158138.346840,68017.500000,"{""t_ms"":792171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":820967554,""m4_us"":820322782,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3039,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158139.383867,68018.531000,"{""t_ms"":793171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":822003952,""m4_us"":821359201,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3102,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158140.417037,68019.562000,"{""t_ms"":794171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":823040469,""m4_us"":822395656,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":56,""loop_us_max"":3308,""loop_hz"":17857,""cycle_log_ms"":1,""n_cycle"":4}"
1784158141.458157,68020.609000,"{""t_ms"":795171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":824077103,""m4_us"":823432123,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3478,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158142.489424,68021.640000,"{""t_ms"":796171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":825113481,""m4_us"":824468629,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":55,""loop_us_max"":3535,""loop_hz"":18181,""cycle_log_ms"":1,""n_cycle"":4}"
1784158143.527828,68022.671000,"{""t_ms"":797171,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":826149830,""m4_us"":825505121,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":71,""loop_us_max"":5879,""loop_hz"":14084,""cycle_log_ms"":1,""n_cycle"":4}"
1784158144.562634,68023.703000,"{""t_ms"":798171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":827186281,""m4_us"":826541585,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":141,""loop_us_max"":3582,""loop_hz"":7092,""cycle_log_ms"":1,""n_cycle"":4}"
1784158145.599454,68024.750000,"{""t_ms"":799171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":828223040,""m4_us"":827578030,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3711,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158146.635439,68025.781000,"{""t_ms"":800171,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":829259247,""m4_us"":828614491,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":145,""loop_us_max"":4034,""loop_hz"":6896,""cycle_log_ms"":1,""n_cycle"":4}"
1784158147.672924,68026.828000,"{""t_ms"":801171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":830295617,""m4_us"":829650926,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3846,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158148.709715,68027.859000,"{""t_ms"":802171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":831332037,""m4_us"":830687352,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3771,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158149.745525,68028.890000,"{""t_ms"":803171,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":832368541,""m4_us"":831723816,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":145,""loop_us_max"":4002,""loop_hz"":6896,""cycle_log_ms"":1,""n_cycle"":4}"
1784158150.781853,68029.921000,"{""t_ms"":804171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":833405030,""m4_us"":832760293,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":141,""loop_us_max"":3652,""loop_hz"":7092,""cycle_log_ms"":1,""n_cycle"":4}"
1784158151.819742,68030.968000,"{""t_ms"":805171,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":834441654,""m4_us"":833796789,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":4047,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158152.862321,68032.015000,"{""t_ms"":806171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":5,""m7_us"":835478044,""m4_us"":834833278,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3807,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158153.890939,68033.031000,"{""t_ms"":807171,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":836514391,""m4_us"":835869739,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3707,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158154.931335,68034.078000,"{""t_ms"":808171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":837550924,""m4_us"":836906206,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3879,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158155.963635,68035.109000,"{""t_ms"":809171,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":838587412,""m4_us"":837942689,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3654,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158157.017685,68036.171000,"{""t_ms"":810171,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":839623911,""m4_us"":838979150,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":145,""loop_us_max"":3794,""loop_hz"":6896,""cycle_log_ms"":1,""n_cycle"":4}"
1784158158.040673,68037.187000,"{""t_ms"":811173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":511,""rate2"":511,""prod1"":511,""prod2"":511,""sma_state"":6,""m7_us"":840662459,""m4_us"":840017640,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3704,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
